Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.097465,0.396247,0.1052696816692793,17.350675087499425,-0.103774,-0.16951,0.157978,1.555492,0.609503,0.308212
ENet+H,0.079848,0.360074,0.0855014979085379,20.4605993361779,-0.127544,0.382725,0.093393,1.545098,0.528839,0.252502
PCR,0.359546,0.648706,0.3623225847445689,16.076568564194364,-0.077024,0.413832,0.200032,1.552936,2.322156,1.136986
PLS,0.239176,0.576804,0.241537172805223,10.886325218215989,0.227558,0.323061,0.113376,1.58858,1.352006,0.756341
GLM+H,-0.318696,0.029758,0.3193681171513121,20.06840494594222,0.380936,0.624156,0.042867,1.561463,-1.713767,-1.007806
GBRT+H,0.580323,0.84189,0.5833510926391111,14.515128036597098,-0.269337,0.120602,0.351134,1.544547,4.100346,1.835142
NN1,0.721891,1.02857,0.7236644604385806,9.457886771474785,0.257716,-0.216541,0.255708,1.562781,4.432395,2.28282
NN2,0.971404,1.238587,0.9729567817498492,9.478979979569418,-0.140061,-0.205493,0.301008,1.561888,6.821691,3.071849
NN3,1.057192,1.352076,1.0589519221511416,9.87347437494717,-0.010529,-0.490864,0.371043,1.538541,6.609216,3.343133
NN4,1.143586,1.47598,1.1454044672521455,6.2711290957184485,0.088042,-0.084645,0.41452,1.544036,6.36261,3.616337
ENS-AVG,1.297605,1.606584,1.299348865016848,7.181511876536375,0.126518,-0.346724,0.450832,1.567866,7.917185,4.103387
ENS-MSE,1.138861,1.426721,1.1407823137111353,9.496184623839932,-0.049201,0.101348,0.436081,1.56508,7.408275,3.601393
