,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.656233742198483,0.8878017640651288,0.3212481377183971,0.8413987339782378,0.37929203934087086,0.7609015284377267,0.8677465606102439,0.3672744335704661,0.6934885338486996,0.4262089638180588,0.4346974846431555
ENet+H,0.45781228780156713,,0.41301160913765567,0.6624744220111518,0.6504757068766348,0.6501066033270094,0.30642315945071713,0.5991736959116799,0.9192343720066971,0.8961673636121403,0.7520105434822442,0.791720643773113
PCR,0.7407492485397799,0.6232715530692381,,0.37045471667232244,0.37937850155918584,0.7097295436449157,0.9440979210283991,0.8974712409965968,0.7089739715080683,0.5159038408624996,0.8648898294594574,0.43373238361809774
PLS,0.3213755063295894,0.692672894693436,0.8851847624487506,,0.6869863566934721,0.4831064121738053,0.9102832726077452,0.7407181950823307,0.5685809316847048,0.9196359298317127,0.8018083017346918,0.8310985963518109
GLM+H,0.9026023554734406,0.41700900615296177,0.9310534672403801,0.41575618359739275,,0.3491278464700257,0.6142158485439221,0.31080931664563904,0.669012729784157,0.6629106283961321,0.39710094708858296,0.8916651300975134
GBRT+H,0.44179526630179816,0.5850320375808471,0.41747788028876937,0.6265068376564314,0.7175501973987033,,0.3158847742909721,0.839605990229018,0.7797507639766871,0.6615051473499842,0.41645655783702124,0.6399844208915498
NN1,0.774575768632978,0.5187764773385197,0.4224841267539365,0.8258068670978864,0.9290819797586891,0.7832542856827918,,0.49736983949868374,0.7639535048524875,0.8501959631724378,0.37877521214405896,0.9236746280525896
NN2,0.5066488156673665,0.3835132197060498,0.42729413392382076,0.7903862923882824,0.39497042773906765,0.5384530441483429,0.4268849072256694,,0.5042432544059896,0.3349835796401644,0.8359028545325682,0.35295624845498086
NN3,0.45537143976289446,0.7341302084307175,0.5052187681426685,0.8570524221726568,0.487855862530195,0.32996475783228746,0.7762804798974612,0.7545810725408952,,0.7379980061226186,0.34463486770066143,0.43747659395140903
NN4,0.6715532272298741,0.8066679943708761,0.7547162175015378,0.8828798265771021,0.9442824819103894,0.4131033353161392,0.33002327083839555,0.8844075643357354,0.563100263478609,,0.6506478692206864,0.523286931613534
ENS-AVG,0.7075181293530006,0.8028099476181993,0.9377037400676125,0.5937211006711751,0.5057383956263619,0.7711476325439648,0.7761386990536117,0.8331927150147618,0.335587697136711,0.9402126354034823,,0.7887976216030943
ENS-MSE,0.7268535522095214,0.7315577516797863,0.6312278232748518,0.7083211858521407,0.9383416456784155,0.34951099803147206,0.8093012636312433,0.6463037205552673,0.49621755345456675,0.8577491761427178,0.7576586733148221,
