,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,3.3709,4.6641,4.8893,5.134,4.9517,5.8724,5.6516,5.649,5.6885,7.6344,4.5436,5.2125
mom6m,5.0625,4.474,6.1143,5.238,4.9759,6.4247,5.5307,6.6473,4.9992,4.6048,3.9438,5.9651
mom12m,4.6018,4.3287,6.027,5.5653,4.2875,5.6987,4.5209,6.118,6.0124,6.178,6.0194,5.8125
mom36m,4.8049,4.4786,5.7975,4.3289,5.1137,5.3535,5.5932,6.1181,8.2584,5.417,5.5646,6.0624
chmom,4.7254,5.7069,6.0305,5.1248,3.8879,6.5024,5.0196,6.1582,5.5456,7.3029,5.7621,6.72
indmom,4.8254,4.6428,4.0245,4.0222,5.9623,5.6877,5.8951,5.5176,5.6676,6.8406,5.1072,5.4734
mvel1,4.0976,4.0898,3.8435,3.2982,3.5921,4.4553,4.0533,6.273,5.355,3.1248,4.94,5.1299
dolvol,5.0603,4.6222,4.5895,5.4044,4.8614,3.2394,5.2492,5.1471,4.2385,4.9766,4.405,4.4737
turn,4.4434,4.6003,4.471,3.685,5.5888,4.8805,4.0815,4.5559,4.5659,3.5056,4.471,3.8399
ill,5.6869,5.5811,4.3061,4.27,4.5176,4.1307,4.0087,3.4578,3.9911,3.3672,4.417,3.8851
baspread,5.4282,5.0069,4.4538,4.3671,5.82,3.6162,3.9911,3.8205,4.2726,4.3005,3.2788,3.4147
beta,3.8375,2.7883,4.2143,3.687,2.5255,3.4463,3.9169,3.9618,2.9107,4.8605,5.0271,3.6819
betasq,3.1087,3.4541,3.1966,4.8606,2.973,3.5638,4.4419,3.2449,4.1928,3.3496,4.7457,3.4205
idiovol,3.6097,2.5784,3.2825,3.7696,2.916,4.7093,4.0214,3.4699,4.1139,3.8142,4.2365,4.7569
retvol,2.313,4.1148,3.0983,4.5564,3.5914,3.453,3.514,3.7311,3.179,3.4146,4.3488,3.5418
bm,2.9915,2.7752,2.7562,2.5704,2.9776,2.5725,2.7599,1.3628,2.2753,1.9097,2.4417,2.8392
ep,2.6367,2.8055,2.3845,2.8258,3.1357,1.7503,2.6081,2.254,1.7727,1.9581,2.6255,2.23
sp,3.5501,3.1949,3.0882,2.9296,3.2688,2.4876,2.1173,1.9325,2.5415,2.9505,2.201,2.0811
cfp,3.3673,2.9374,2.838,2.1509,3.0007,3.2269,2.1426,2.1375,2.2743,1.7948,2.448,2.2163
dy,3.6639,3.0872,2.6542,2.8352,2.9616,2.9048,2.3606,2.3889,2.4484,2.8889,2.5253,2.2735
agr,2.0016,1.9473,1.3416,1.5978,1.8941,1.5726,2.1514,1.7155,1.4021,1.7331,1.8792,1.1144
invest,2.0985,1.5752,1.7062,1.4814,1.7914,1.8099,1.7057,1.4628,1.4288,1.9223,1.831,1.7942
operprof,1.5862,2.4277,1.5312,1.9824,1.7304,1.5362,1.3866,1.7564,1.3934,1.686,1.6169,1.5918
gma,1.6358,1.9702,1.8624,1.7973,2.1449,1.3731,1.7711,1.652,1.0932,1.3665,1.508,1.9632
roeq,1.4088,1.9933,1.7486,1.747,1.6689,1.962,1.4893,1.2199,1.7837,1.5433,1.4377,1.3456
roaq,1.5354,1.6462,1.5954,1.8525,1.6809,1.4567,1.9893,1.5699,1.721,1.725,1.4112,1.5514
acc,1.1111,1.1241,1.3944,1.1132,1.1797,0.8404,1.4011,0.9087,1.1531,0.981,1.0994,1.1502
lev,1.4324,1.135,0.9831,1.1794,1.0987,1.1886,1.1782,0.8505,1.1442,0.8706,1.1122,0.8986
sgr,0.8758,1.4317,1.2572,1.3266,1.2307,0.699,0.9902,0.8422,0.7464,0.6954,1.0717,1.0515
lgr,1.1895,1.2845,1.3921,1.5073,0.822,0.8111,1.0999,1.1373,1.0739,0.7154,0.7016,1.0908
age,1.6354,1.3235,0.9574,1.1391,1.2609,1.1258,1.1132,1.0233,0.962,0.927,0.9199,1.3353
depr,1.2638,1.2391,1.0871,1.3221,1.5158,0.7268,1.0986,0.9528,0.9701,0.972,1.1666,0.9195
chinv,1.04,0.9708,1.0834,1.3305,1.0724,0.9218,1.1479,0.9628,0.8248,0.6692,1.1926,1.163
