Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.04382,0.155838,0.0444970333287271,23.248191009361104,-0.210438,0.702042,0.005979,1.545552,-0.406984,-0.13857
ENet+H,-0.377035,-0.227349,0.37722810398509,45.68687222351814,0.015707,-0.285721,0.014563,1.545957,-4.671477,-1.19229
PCR,0.189606,0.349851,0.1909155400258863,22.628388998321117,0.000117,0.248999,0.049806,1.527006,2.16688,0.599587
PLS,0.136349,0.347543,,18.53105444019072,0.641638,1.133834,-0.01853,1.554345,1.206029,0.431174
GLM+H,0.056537,0.237906,0.0583843080684048,25.56114927658607,0.021551,0.127285,0.021225,1.580562,0.590546,0.178786
GBRT+H,0.456707,0.632346,0.4573133289257557,16.815435984502923,0.088967,-0.348468,0.055389,1.56027,4.85887,1.444236
NN1,0.096505,0.254944,0.0983861239292893,23.967484336402354,-0.166245,-0.158254,0.036648,1.556258,1.137757,0.305174
NN2,0.321563,0.498939,0.3225434257704345,32.25350365794607,0.560365,1.12603,0.06311,1.553841,3.384783,1.016873
NN3,0.244705,0.443296,0.2460724021194529,21.232882976351846,-0.268003,0.10164,0.067064,1.541973,2.279489,0.773824
NN4,0.491002,0.63033,0.4916619308743432,28.831031962741307,-0.097235,-0.405655,0.064807,1.55192,6.552773,1.552684
ENS-AVG,1.233812,1.399215,1.2338902457753276,14.1577062773415,0.194101,0.345362,0.019305,1.54418,13.942481,3.901655
ENS-MSE,0.553783,0.739379,0.5545085636889004,19.351333945031925,0.05117,-0.178909,0.080349,1.545763,5.527013,1.751216
