,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.4142769429978821,0.7163272131881037,0.8985597814366282,0.495678514339531,0.4493109919278388,0.8192307869554996,0.8960110854764705,0.5739761836413497,0.5082018532079022,0.46215761873789046,0.37108242098892724
ENet+H,0.9272422623071503,,0.9327027536558372,0.5085119295841819,0.9476421849083028,0.7899037689194705,0.6306794788117853,0.5485926626841986,0.5599444785965819,0.6531115841777482,0.6977088442804916,0.5994744443660567
PCR,0.5378466115958631,0.7854691376653358,,0.5138464198699456,0.4082906921192482,0.4749755569985703,0.4044157275063834,0.3085014402474231,0.49577666812295534,0.38940801225298816,0.5181619607626369,0.8707214724254926
PLS,0.8124821974892589,0.8202659621038302,0.8380663461559574,,0.4198600323146924,0.635495945286709,0.9043269509617191,0.76550971458867,0.3603248187737529,0.5206960310631693,0.3918438656425033,0.8387677470931381
GLM+H,0.3631481510454099,0.6923973264363616,0.3164553946779514,0.3658210454819893,,0.3407192555553531,0.686160192625819,0.4538355530140081,0.8763220539542218,0.3066828856107144,0.7874447973639276,0.6650682606039541
GBRT+H,0.665949159867728,0.7043427053537263,0.49074408672064695,0.7238636673240912,0.3315902668269334,,0.38117615277002737,0.5769376621103042,0.7500490204625279,0.5193374059115521,0.7376302916897725,0.9122345517459076
NN1,0.6597882021347432,0.43792052600250453,0.5206781514761942,0.35421635031367266,0.31320726658023906,0.9155468368099227,,0.3095061855950241,0.32966751816199724,0.6337079952228608,0.4824901827600391,0.8694278251844341
NN2,0.881186285460114,0.6825207780192905,0.5990696832560514,0.30266993927600416,0.7298302018948242,0.5624618176512444,0.5964621402468495,,0.7414148050334617,0.41112971834710743,0.4671274356214026,0.5979063269027075
NN3,0.9474208431524775,0.7005784075863611,0.33767006724792203,0.9410936208444127,0.46881572756080203,0.3849385111855287,0.3661726607818827,0.314686425605116,,0.6169676695112896,0.7032705196262968,0.3058217408946099
NN4,0.31873420476989645,0.568521490954802,0.45187131291188787,0.31637385706794985,0.9332795171751511,0.9053764669474309,0.9152452588569111,0.6534858850292503,0.887964327998638,,0.7354779535271251,0.6515679456434318
ENS-AVG,0.8434309727493663,0.5887890312039634,0.6565784353386298,0.8546710908697204,0.8172066269099396,0.599514964340365,0.8336695925877589,0.935335369959154,0.46742870590456376,0.6752548859331235,,0.4835984997692162
ENS-MSE,0.6741866445552962,0.5183136698534179,0.3430059028558885,0.6331229493079076,0.4181693935111706,0.6043352756893647,0.46651972459393004,0.35613944232268013,0.559107030093566,0.6734422867334566,0.4338680655188156,
