,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.823317796993512,0.03662203602043122,0.563215611106803,0.1878312700405327,-0.06393184125843754,0.07354741213370808,-0.016408864644789134,-0.12792989388177423,-0.3725969214851602,-0.02219803917780229,-0.12372739311966606
ENet+H,0.823317796993512,,-0.10977396903598505,0.15275729380973235,-0.08095550331913168,0.26277669739194487,0.0928054275490166,0.7978773444802331,-0.13776659671358643,0.2828210535863291,-0.10067705061411072,-0.5264651500304173
PCR,-0.03662203602043122,0.10977396903598505,,0.20452122122687103,0.2795324187064042,0.28651467667110925,-0.4139915977647295,-0.01956074730499109,0.15964512871713107,-0.13472037096458625,0.02594430866725922,0.1609932071273005
PLS,-0.563215611106803,-0.15275729380973235,-0.20452122122687103,,0.027493646191083382,0.0900705903469996,0.5642038140414429,0.08143136096778761,0.12737210763274578,0.03741104122465952,0.24790848720297431,0.10340348788731527
GLM+H,-0.1878312700405327,0.08095550331913168,-0.2795324187064042,-0.027493646191083382,,0.23084313405027357,-0.48383972867555636,0.07926228527349459,-0.3903147651808695,-0.3946246902288153,-0.11665288927112188,0.2570632512367977
GBRT+H,0.06393184125843754,-0.26277669739194487,-0.28651467667110925,-0.0900705903469996,-0.23084313405027357,,0.13102686660435572,-0.2163143390354934,-0.4029847861247767,0.5549765890816335,0.13664494329243326,-0.1656265977307608
NN1,-0.07354741213370808,-0.0928054275490166,0.4139915977647295,-0.5642038140414429,0.48383972867555636,-0.13102686660435572,,0.13696008980539112,0.7926355197450444,0.2528855909873848,0.23925778843061057,-0.42095782405756904
NN2,0.016408864644789134,-0.7978773444802331,0.01956074730499109,-0.08143136096778761,-0.07926228527349459,0.2163143390354934,-0.13696008980539112,,0.12628784320589218,-0.4264614567657926,-0.014977804564828064,-0.06391903288865021
NN3,0.12792989388177423,0.13776659671358643,-0.15964512871713107,-0.12737210763274578,0.3903147651808695,0.4029847861247767,-0.7926355197450444,-0.12628784320589218,,0.02243835216206036,0.44544878878512634,0.1146622132783141
NN4,0.3725969214851602,-0.2828210535863291,0.13472037096458625,-0.03741104122465952,0.3946246902288153,-0.5549765890816335,-0.2528855909873848,0.4264614567657926,-0.02243835216206036,,-0.4058049704203539,0.13635082013642116
ENS-AVG,0.02219803917780229,0.10067705061411072,-0.02594430866725922,-0.24790848720297431,0.11665288927112188,-0.13664494329243326,-0.23925778843061057,0.014977804564828064,-0.44544878878512634,0.4058049704203539,,0.3761909377595237
ENS-MSE,0.12372739311966606,0.5264651500304173,-0.1609932071273005,-0.10340348788731527,-0.2570632512367977,0.1656265977307608,0.42095782405756904,0.06391903288865021,-0.1146622132783141,-0.13635082013642116,-0.3761909377595237,
