regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,mean_ret_pct_pm,max_dd_pct,skew,kurt,n_months
full,all,OLS-3,-0.044003545553950585,0.1564918668097948,-0.00033915334117039323,-0.03391533411703932,23.248191009361104,-0.207798285982506,0.6235424961109666,120
nber,recession,OLS-3,,,,,,,,0
nber,expansion,OLS-3,-0.044003545553950585,0.1564918668097948,-0.00033915334117039323,-0.03391533411703932,23.248191009361104,-0.207798285982506,0.6235424961109666,120
vix,low_vix,OLS-3,,,,,,,,0
vix,mid_vix,OLS-3,,,,,,,,0
vix,high_vix,OLS-3,,,,,,,,0
decade,2020s,OLS-3,-0.38441729916999134,-0.20196302863654444,-0.0033045626339141825,-0.33045626339141826,23.248191009361104,-0.3963501945892311,0.5250344281072121,45
decade,2030s,OLS-3,0.20364871628836462,0.42052299326604364,0.0014400922344758801,0.14400922344758801,16.12192684851652,0.1015039879643697,0.21699540055759403,75
full,all,ENet+H,-0.3786159616244835,-0.22830266558459647,-0.003892897636188135,-0.3892897636188135,45.68687222351814,0.015509644345824991,-0.3235409371560225,120
nber,recession,ENet+H,,,,,,,,0
nber,expansion,ENet+H,-0.3786159616244835,-0.22830266558459647,-0.003892897636188135,-0.3892897636188135,45.68687222351814,0.015509644345824991,-0.3235409371560225,120
vix,low_vix,ENet+H,,,,,,,,0
vix,mid_vix,ENet+H,,,,,,,,0
vix,high_vix,ENet+H,,,,,,,,0
decade,2020s,ENet+H,-1.0880319007378576,-0.9299340115803433,-0.010435339464700526,-1.0435339464700526,41.751510251107895,0.07962940840306637,-0.6835613783884913,45
decade,2030s,ENet+H,0.0030977099055161457,0.15139425930962275,3.2567460919300375e-05,0.0032567460919300374,18.934937439303493,-0.06508433029870038,-0.15819742723400276,75
full,all,PCR,0.19040104525920487,0.35131745932776604,0.0018057336053504591,0.1805733605350459,22.628388998321117,0.00011535041678666192,0.1891572093394518,120
nber,recession,PCR,,,,,,,,0
nber,expansion,PCR,0.19040104525920487,0.35131745932776604,0.0018057336053504591,0.1805733605350459,22.628388998321117,0.00011535041678666192,0.1891572093394518,120
vix,low_vix,PCR,,,,,,,,0
vix,mid_vix,PCR,,,,,,,,0
vix,high_vix,PCR,,,,,,,,0
decade,2020s,PCR,-0.34686304679172403,-0.16462891554669035,-0.002907177877867422,-0.2907177877867422,22.628388998321117,0.12038238248442186,1.2220811487001964,45
decade,2030s,PCR,0.4633847003420145,0.6161762692324366,0.004633480495281186,0.46334804952811853,22.022758895509668,-0.1142523673760179,-0.14781550966569723,75
full,all,PLS,0.13692086386634636,0.34900000517577445,0.0010050244730618922,0.10050244730618922,18.53105444019072,0.6335893424523006,1.0375523526481265,120
nber,recession,PLS,,,,,,,,0
nber,expansion,PLS,0.13692086386634636,0.34900000517577445,0.0010050244730618922,0.10050244730618922,18.53105444019072,0.6335893424523006,1.0375523526481265,120
vix,low_vix,PLS,,,,,,,,0
vix,mid_vix,PLS,,,,,,,,0
vix,high_vix,PLS,,,,,,,,0
decade,2020s,PLS,0.3591509295885496,0.5540271155915334,0.00285891476064957,0.285891476064957,14.744805737376002,0.5082103903812953,0.6852739075850645,45
decade,2030s,PLS,-0.015503128922237415,0.20995047358705596,-0.00010730969949071504,-0.010730969949071504,14.698773243915817,0.7000570520690305,1.2468449814532194,75
full,all,GLM+H,0.05677414648753146,0.23890338221149143,0.0004921216127202734,0.049212161272027335,25.56114927658607,0.021280417735978833,0.07245611367678206,120
nber,recession,GLM+H,,,,,,,,0
nber,expansion,GLM+H,0.05677414648753146,0.23890338221149143,0.0004921216127202734,0.049212161272027335,25.56114927658607,0.021280417735978833,0.07245611367678206,120
vix,low_vix,GLM+H,,,,,,,,0
vix,mid_vix,GLM+H,,,,,,,,0
vix,high_vix,GLM+H,,,,,,,,0
decade,2020s,GLM+H,-0.07042963387817201,0.11134295511384407,-0.0006070858178216776,-0.06070858178216776,21.91831699028695,-0.3076340938798642,0.5945312344663534,45
decade,2030s,GLM+H,0.13250476780695666,0.3151090878487343,0.0011516460710454444,0.11516460710454443,21.750611376484922,0.21277169841697968,-0.2756236370410039,75
full,all,GBRT+H,0.4586223187111828,0.6349977226880754,0.004049058086373802,0.4049058086373802,16.815435984502923,0.08785077086816878,-0.3837032748818663,120
nber,recession,GBRT+H,,,,,,,,0
nber,expansion,GBRT+H,0.4586223187111828,0.6349977226880754,0.004049058086373802,0.4049058086373802,16.815435984502923,0.08785077086816878,-0.3837032748818663,120
vix,low_vix,GBRT+H,,,,,,,,0
vix,mid_vix,GBRT+H,,,,,,,,0
vix,high_vix,GBRT+H,,,,,,,,0
