,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,3.5352,10.0774,2.886,23.206,4.8351,8.3486,9.2731,6.2557,4.9685,8.1247,1.5233,16.9666
mom6m,12.482,1.3058,5.4256,6.2922,1.3904,6.9982,12.8225,3.1036,16.3767,14.9069,6.426,12.4702
mom12m,9.4845,20.1162,16.0773,2.0777,4.1299,3.4167,17.6192,1.3777,3.834,7.065,9.8943,4.9075
mom36m,3.0226,12.1517,17.6935,5.8215,2.1625,6.0662,12.9139,4.0691,3.4397,13.9686,12.8584,5.8321
chmom,10.9933,6.7315,4.5738,5.8423,15.1865,6.8884,7.5895,17.0459,8.2046,9.644,5.6926,1.6075
indmom,11.0894,4.8898,8.0688,23.361,0.9361,1.9,14.748,5.0641,1.1602,9.4701,13.7316,5.581
mvel1,5.7785,29.9886,5.531,7.0045,5.6711,2.7696,3.4843,6.4955,7.9222,13.3716,7.3688,4.6143
dolvol,4.9471,8.8744,17.4597,3.5241,6.3384,2.8852,8.3135,12.8241,1.26,13.8723,3.4271,16.2741
turn,7.165,11.6695,3.7556,1.3441,2.6176,8.6425,9.6136,5.6509,5.2362,9.2456,24.6464,10.413
ill,3.7535,6.8987,16.2628,22.4967,3.547,1.2223,0.4353,8.8556,5.6062,1.2993,12.9703,16.6522
baspread,3.1478,3.2852,11.5734,27.8224,16.1985,6.7343,10.4456,1.5462,7.5938,6.708,0.7949,4.1499
beta,4.4626,11.6285,1.7739,12.514,13.8368,18.4354,12.5212,4.639,3.867,9.5997,2.7387,3.9831
betasq,4.7316,0.855,16.1557,13.7255,2.9672,7.8465,9.5922,9.9146,9.0412,8.0827,3.6986,13.3893
idiovol,12.3062,5.7915,9.9784,4.9511,3.3209,4.9629,1.5871,4.068,13.3903,16.8162,14.3245,8.5028
retvol,2.386,11.8663,7.8702,2.2396,9.69,10.3408,16.4257,7.3678,4.2709,7.9087,10.2433,9.3908
bm,10.8897,10.6015,21.468,12.8083,4.3895,0.9828,7.5713,9.2204,2.0457,2.9004,2.8588,14.2638
ep,3.7368,3.3205,11.4049,14.931,6.0656,7.359,10.3711,7.6298,6.9162,13.3581,8.1467,6.7602
sp,3.541,5.328,17.0916,10.9577,4.712,4.6169,3.0193,3.9846,14.7833,1.0632,8.3409,22.5614
cfp,15.9395,0.911,1.8254,7.3596,7.5325,11.6944,9.2964,10.0154,2.3315,9.9915,16.7132,6.3895
dy,9.2628,3.1743,20.7127,8.1389,8.6398,1.7052,12.5246,0.8594,12.0138,7.6735,12.5913,2.7037
agr,4.2042,4.6254,6.7867,9.104,10.0477,1.1119,4.041,6.0255,23.0,9.1673,12.4633,9.4229
invest,5.8419,2.1336,2.8501,11.3417,8.9628,4.343,31.341,4.6429,1.6089,12.9039,4.0892,9.941
operprof,8.4361,6.6378,8.1777,14.1387,7.4302,8.5313,6.0304,6.728,5.1278,7.5898,6.674,14.4983
gma,6.1458,6.9534,2.9387,3.4293,20.1193,7.5932,21.0234,3.4247,1.1122,4.1018,4.4663,18.692
roeq,12.0249,3.5785,2.3883,14.1644,6.8174,1.0525,17.5816,19.059,4.7758,6.6054,3.4542,8.4978
roaq,4.671,2.7578,19.6739,9.3948,5.5899,20.4141,3.8525,9.3169,6.2667,8.1921,8.3747,1.4955
acc,9.032,9.932,20.3081,17.224,4.4219,6.7007,4.3404,11.3775,6.5,1.7138,6.8289,1.6206
lev,9.1053,14.2172,4.1206,7.0908,6.3131,6.5116,10.1436,3.7811,8.2066,17.4244,8.0955,4.9902
sgr,2.7244,1.2864,9.2634,7.2517,8.4652,12.1218,13.0409,7.4484,10.4257,8.1311,8.7808,11.0603
lgr,24.488,4.1701,2.9969,11.0397,0.7711,5.3769,4.4033,8.2923,18.2013,9.1333,6.2058,4.9212
age,13.2294,4.0676,2.6765,12.4286,12.5059,0.4189,6.8985,20.8067,10.4649,4.945,8.3837,3.1743
depr,9.0746,5.6028,3.5726,13.1496,10.7424,10.0093,11.7023,8.2086,6.9557,13.0885,7.3114,0.5823
chinv,20.6132,3.2223,14.0104,7.2881,9.5108,4.1218,3.9508,9.9735,7.1301,2.3636,8.0248,9.7905
