Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.384621,0.593709,,14.852743711892169,-0.259738,0.856815,-0.031223,1.564345,3.453853,1.216277
ENet+H,0.13157,0.34081,0.1319407611175124,24.70987909614167,0.000993,0.042826,0.009769,1.546636,1.16693,0.416061
PCR,0.330745,0.579299,,22.65571883252852,0.203393,0.090917,-0.049796,1.537676,2.454343,1.045907
PLS,0.174919,0.396033,,22.74077167885603,-0.614818,1.629803,-0.018398,1.529873,1.453172,0.553142
GLM+H,-0.496636,-0.295795,,46.18816535590301,0.088018,-0.38505,-0.044692,1.56858,-4.646658,-1.570502
GBRT+H,-0.111357,0.130345,,26.466304772999962,0.109813,0.047509,-0.099043,1.55333,-0.858409,-0.352143
NN1,-0.458811,-0.227176,,35.03564499645997,-0.151122,0.093887,-0.0221,1.539541,-3.65761,-1.450887
NN2,0.360957,0.530961,,25.72429059785515,-0.017853,-0.250917,-0.047445,1.527379,3.883565,1.141447
NN3,0.208491,0.456524,,14.41298394752702,-0.222973,0.338029,-0.105627,1.543488,1.554802,0.659307
NN4,0.197955,0.394424,,15.436371287749168,0.031951,-0.489781,-0.097207,1.559169,1.882288,0.625989
ENS-AVG,0.452311,0.669738,,26.696244658426206,-0.043712,0.35683,-0.140251,1.561625,3.908212,1.430331
ENS-MSE,0.699448,0.930068,,12.787211518160028,0.153543,-0.106765,-0.080199,1.536277,5.569246,2.21185
