,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.48677314639506797,0.5167250585805103,0.724747413606754,0.9110397696155188,0.8379586146926765,0.7063934877955373,0.791942081182163,0.7161025566325707,0.8056765448654917,0.905140912130328,0.5476796885084252
ENet+H,0.4817824641085915,,0.3753508250621257,0.7111737631684546,0.7266204246867687,0.7784085294900451,0.9333808461445636,0.4220901629897091,0.43608131633919633,0.47572155861093973,0.43110002968497707,0.5179753534400081
PCR,0.8050019167895761,0.5530037297369622,,0.8454932150167667,0.5753236623842819,0.8932456533543327,0.8411269925987039,0.4426993069405648,0.38026237696179244,0.32081125780187686,0.37397365608739613,0.4267850473781707
PLS,0.9453279480091601,0.3046095249700324,0.8016645448137665,,0.5488009134468342,0.3219808716760165,0.7485438184178896,0.913764693008372,0.635852314107652,0.46952446914719426,0.5892770368550077,0.8017524282726745
GLM+H,0.6852366656999096,0.9214827869404236,0.4512849352086365,0.6402091695113028,,0.5012664159166565,0.43554925770249575,0.4512543936481347,0.8011776229974847,0.36845539359740065,0.35534227052933187,0.9167963396934018
GBRT+H,0.5742453227084803,0.32717290390255954,0.5958001148114748,0.3373926990521351,0.7346523076524063,,0.9415912017035555,0.8617258013929374,0.4259824749930313,0.6622032321348175,0.47644681308399484,0.344303290632306
NN1,0.4345834395126297,0.5668764417965323,0.7761688155054609,0.914945669595526,0.38218201130994334,0.5467191177183633,,0.7932280628600166,0.8547682458826733,0.4208043941054519,0.5410552166037754,0.41459087743830414
NN2,0.5858815225413114,0.3088937217846233,0.40246863437645763,0.4841125809667537,0.5563085880183997,0.4898284360361368,0.596317417691452,,0.8081378150259857,0.7521609136260757,0.9399529846325871,0.6085856669733477
NN3,0.3413702681664775,0.852109076827918,0.6157539208164516,0.35136986854181,0.6474063405523311,0.5707998037520421,0.8523005035880997,0.5284995658892248,,0.8311446592015173,0.5827647242004363,0.7711979595324319
NN4,0.6952348999103324,0.7094286230081148,0.35287139544922547,0.43987058950873764,0.8175217140201527,0.5214876004037013,0.8343644775031103,0.8171679230769782,0.4088050348768884,,0.48551308403748594,0.4004324963070864
ENS-AVG,0.3101357160999688,0.603143347954314,0.574291815968867,0.36060486919237544,0.9095425042964347,0.36133587863157873,0.30275301760149664,0.8430421289837142,0.35578411249148256,0.6491974316913165,,0.5289328486130104
ENS-MSE,0.7403222354699759,0.37464559604859327,0.34961996894272773,0.7081619116123761,0.5652444823390974,0.7374768344371044,0.6893415082751402,0.7811535183711493,0.346040095496268,0.7444999014509013,0.3835548834769059,
