,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.34188032381050604,0.21921885901411498,-0.05677555600451756,-0.5333391579164063,-0.06092756838700314,-0.16194474548736698,0.6770205766518862,0.7863722432570301,0.8114775264019118,-0.6264063320673117,-0.3529537690089488
ENet+H,0.34188032381050604,,0.11981514554583382,-0.2698987890928457,0.1879164481381139,0.1985609015233758,-0.5862966282368847,0.25739872460162244,-0.5542793484065881,0.47317202905631756,0.24011361605119697,-0.07182053676691838
PCR,-0.21921885901411498,-0.11981514554583382,,0.03985135188872685,0.2908654436049227,0.4292610210042405,0.7317314787538078,0.30159026090087837,0.4984421037734183,-0.4357029729953502,0.27902711412773284,-0.1733403083054293
PLS,0.05677555600451756,0.2698987890928457,-0.03985135188872685,,-0.10757321160095176,0.2262327827885255,0.06368358784625384,0.07082563896885077,0.4138672131986742,-0.1660146624530558,0.4293362943099532,0.7948257938636419
GLM+H,0.5333391579164063,-0.1879164481381139,-0.2908654436049227,0.10757321160095176,,-0.15175734835859644,0.12012077579872577,-0.2529133660726537,-0.23486475500457113,-0.20550722095222843,0.0940114504466202,-0.20136917333075868
GBRT+H,0.06092756838700314,-0.1985609015233758,-0.4292610210042405,-0.2262327827885255,0.15175734835859644,,0.10997550375479395,-0.2215579880470612,0.2978374088440438,-0.13879925736575163,-0.43566595712336165,0.6734386660784701
NN1,0.16194474548736698,0.5862966282368847,-0.7317314787538078,-0.06368358784625384,-0.12012077579872577,-0.10997550375479395,,-0.8524050546534832,-0.20463828487373625,-0.4309848557695619,-0.5974943855065826,0.2343915039380285
NN2,-0.6770205766518862,-0.25739872460162244,-0.30159026090087837,-0.07082563896885077,0.2529133660726537,0.2215579880470612,0.8524050546534832,,-0.052367674963194395,0.14753969781970072,0.10570055104634846,-0.27416656691133345
NN3,-0.7863722432570301,0.5542793484065881,-0.4984421037734183,-0.4138672131986742,0.23486475500457113,-0.2978374088440438,0.20463828487373625,0.052367674963194395,,-0.1068477266741985,0.17310623582264545,-0.13072354307392353
NN4,-0.8114775264019118,-0.47317202905631756,0.4357029729953502,0.1660146624530558,0.20550722095222843,0.13879925736575163,0.4309848557695619,-0.14753969781970072,0.1068477266741985,,-0.5508645203251235,-0.37519448030889857
ENS-AVG,0.6264063320673117,-0.24011361605119697,-0.27902711412773284,-0.4293362943099532,-0.0940114504466202,0.43566595712336165,0.5974943855065826,-0.10570055104634846,-0.17310623582264545,0.5508645203251235,,-0.4499427039394543
ENS-MSE,0.3529537690089488,0.07182053676691838,0.1733403083054293,-0.7948257938636419,0.20136917333075868,-0.6734386660784701,-0.2343915039380285,0.27416656691133345,0.13072354307392353,0.37519448030889857,0.4499427039394543,
