,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,0.8668,13.9424,18.0457,8.5261,14.1786,5.6444,7.7416,3.2626,1.9341,11.1836,12.2876,2.3865
mom6m,6.8607,15.1996,8.1436,13.2642,3.0182,11.7943,1.3992,10.2775,5.6172,3.9845,12.1875,8.2534
mom12m,4.5645,3.2472,6.4384,3.4707,10.2722,3.9073,11.4486,9.9891,15.5033,12.9877,7.065,11.1059
mom36m,18.2652,2.9839,2.8476,3.3179,13.993,23.318,4.2601,7.9367,3.0585,5.1022,9.6342,5.2827
chmom,13.4074,5.2212,8.1282,4.8679,20.4744,8.8844,9.2069,10.7797,2.8004,2.5747,8.4883,5.1664
indmom,0.6629,0.1185,14.5417,1.3425,19.5106,3.1868,17.676,8.2712,13.6594,2.2672,12.9906,5.7724
mvel1,3.6983,6.5846,5.7377,7.5755,15.705,7.9816,5.6026,0.431,19.6052,4.564,19.6067,2.9077
dolvol,15.5022,22.7849,2.5587,11.2057,10.1726,9.6575,3.6131,3.0731,6.9068,6.5846,6.4654,1.4754
turn,5.0747,10.05,10.2874,4.3221,2.2915,3.2067,1.088,8.056,21.6912,16.5303,6.2533,11.1489
ill,8.2064,9.2855,5.8891,4.8795,19.3836,3.7371,6.9899,8.9477,2.2459,4.8906,21.5145,4.03
baspread,5.2669,10.6515,9.7922,4.8065,8.1857,7.3783,3.9887,1.0012,4.905,25.8,12.7585,5.4656
beta,5.048,13.8561,18.7169,14.5387,6.7293,7.6188,3.4746,8.6263,3.637,6.297,7.579,3.8783
betasq,6.9636,25.2653,3.5988,10.6698,2.5167,6.2171,11.9084,2.0723,5.5292,9.2934,6.8583,9.107
idiovol,3.8763,5.6843,7.2382,4.8556,14.6176,9.0379,24.012,7.3472,5.1479,7.483,7.0198,3.6803
retvol,7.8264,5.2422,1.614,21.8778,24.7269,7.1812,3.351,2.4654,5.3508,9.2659,5.707,5.3914
bm,4.7864,4.5727,5.2227,8.9904,3.5273,34.3097,3.9072,5.9693,10.3987,14.2004,2.3521,1.7629
ep,3.9603,9.1863,9.9076,4.8103,5.5054,1.0361,5.9611,12.1048,6.5006,16.2631,17.4561,7.3083
sp,8.5404,10.9467,1.0395,5.3362,6.8952,9.6645,6.9136,23.908,1.1425,5.3093,9.4877,10.8163
cfp,13.5747,26.7019,3.5936,12.2286,4.403,3.4026,7.8797,4.3108,6.1851,9.0675,4.5513,4.1012
dy,8.0866,8.9539,24.2512,5.2113,4.1566,6.7385,10.3523,3.6577,5.3123,6.939,12.7385,3.6023
agr,11.5101,3.8657,5.9119,7.1634,11.5754,14.0119,6.8511,2.7902,5.5227,13.728,2.1167,14.9528
invest,9.8702,3.1211,5.4912,13.5622,12.5903,7.9816,12.4397,11.4263,1.8987,7.1142,3.8967,10.6077
operprof,19.313,9.3099,4.2933,2.941,17.1193,3.743,1.4507,8.3107,4.916,11.2989,10.66,6.6441
gma,6.5129,11.2336,31.6275,11.5528,4.8736,6.7462,4.7065,1.9368,1.126,2.6761,9.2389,7.7691
roeq,0.4497,2.5878,12.2032,8.117,10.4262,6.8293,1.8207,6.6908,12.9662,20.4171,4.1648,13.3272
roaq,3.7114,6.9452,2.9571,16.8325,5.8776,8.0937,18.9219,10.8295,3.0459,6.3436,8.9647,7.4768
acc,1.4363,10.9954,4.9392,9.6129,7.7974,8.43,7.5328,2.2302,11.2061,8.5633,6.5239,20.7326
lev,11.9799,11.034,5.1224,7.2226,14.5113,1.5297,5.8964,1.9189,8.3295,8.9911,10.4898,12.9744
sgr,8.4938,12.2718,10.4943,12.8463,4.9612,6.3121,6.7239,11.5864,4.9548,15.5431,2.3299,3.4825
lgr,5.5002,10.8929,9.0024,6.9766,4.4929,7.1264,8.1315,4.621,4.6832,7.0362,27.476,4.0608
age,5.9434,5.3086,3.6118,7.255,10.6519,10.3505,10.6374,12.1214,6.1231,3.3358,22.1451,2.516
depr,0.7835,2.7835,19.275,12.0987,9.0398,4.2646,10.5581,15.1557,12.3633,2.8777,4.0994,6.7007
chinv,12.2761,8.2912,3.3593,16.1278,14.5807,5.4391,7.3953,5.0675,2.0419,6.5181,9.2268,9.6764
