Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.288502,0.578844,0.2899704898942273,9.190358357247508,0.104868,0.318545,0.084876,1.544239,1.84008,0.912325
ENet+H,0.524883,0.855481,0.5253069119983617,11.343969197204999,0.03375,-0.340048,0.044499,1.548809,2.950471,1.659827
PCR,0.840821,1.135284,0.8415988500591239,10.414855211181647,0.344143,-0.153818,0.130696,1.548276,5.312502,2.65891
PLS,0.827242,1.067838,0.827864558485618,10.764645571722868,0.185338,0.885569,0.102934,1.534222,6.323389,2.615968
GLM+H,0.516662,0.866517,,18.627083848391294,0.340786,-0.208925,-0.003106,1.540302,2.729881,1.633827
GBRT+H,1.365163,1.636066,1.3660810216105204,8.324988082184708,-0.010184,-0.027304,0.250107,1.551102,9.35767,4.317025
NN1,1.043007,1.339674,1.0436080600726798,9.605032053784727,-0.020711,0.215281,0.125261,1.550561,6.536032,3.298277
NN2,0.797904,1.07887,0.7991030364941395,7.170441117069121,-0.062597,0.10696,0.191121,1.544541,5.255224,2.523194
NN3,0.879456,1.192751,0.8807471483426669,11.334139822399454,0.088715,-0.101214,0.226753,1.554499,5.222323,2.781083
NN4,0.81798,1.092453,0.8195806997186791,9.020009149505714,0.08111,0.360245,0.261439,1.538905,5.520965,2.58668
ENS-AVG,1.707572,1.983883,1.708449414511954,4.4821257776847165,0.243981,0.015855,0.298831,1.567986,11.517253,5.399818
ENS-MSE,0.964958,1.286201,0.96662998006081,9.68113943591037,-0.145587,0.27541,0.321918,1.531816,5.519148,3.051466
