,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.33309971844788727,0.4754331832503833,0.6372762841350252,0.9351691342335449,0.6604784157262803,0.5531732264272504,0.6862649555225064,0.40218905832647356,0.6349030539573663,0.31454813750081767,0.39273466790989037
ENet+H,0.45672420557569043,,0.7711045649959214,0.30218915625756393,0.6295182277979986,0.32206734110062524,0.46974242158758783,0.730731978171215,0.5278949451067502,0.6420082285835401,0.7155917386026134,0.8356993315054959
PCR,0.32559355641243964,0.855126724212971,,0.8916548369305253,0.7771572531847426,0.4138001210878404,0.4802253317487249,0.54097078305123,0.3912232830551662,0.43288996585504885,0.4122075807673921,0.6904179584920394
PLS,0.49594811767843483,0.8601363456658075,0.8807060577311039,,0.458766979252342,0.5663823098687122,0.45995528070464003,0.8293633488558061,0.6310726195492167,0.5918425057290273,0.4272320052503688,0.43660022673406607
GLM+H,0.852436305362055,0.3871649956826363,0.7261141871896194,0.9351577463641554,,0.9371725047489348,0.708292036512234,0.8421094121789023,0.609914670314881,0.39330725500172176,0.6318692952406357,0.6241139047891264
GBRT+H,0.6887121371466732,0.5985115445535981,0.8843020576332552,0.4120584608218689,0.5014744252821274,,0.7738957529465882,0.33529869033100557,0.9410657321220148,0.6926086274778025,0.3258131841477689,0.6740798906637386
NN1,0.5493426982379481,0.5457731957446852,0.6117372123339477,0.5229820654579271,0.8426488184265468,0.5053207473651511,,0.34714055535156085,0.4166222280822796,0.7188935816175046,0.46918029065144845,0.4321981443248705
NN2,0.47515184436034186,0.3905575232251908,0.330625177458009,0.4892571402424203,0.671939887807242,0.6513179671210434,0.7229698885845199,,0.48971482468833905,0.8885945534367952,0.94741141417868,0.8260875685941802
NN3,0.9065396863253752,0.9375625809370884,0.6365228105860122,0.312241592617858,0.5616402022339628,0.34749325967837097,0.39369932842759897,0.8358962039351387,,0.6184771869959382,0.4447671703595315,0.5839526188654244
NN4,0.6525431165006383,0.49191233953374225,0.7910425581770918,0.8297404117056058,0.8061055237742738,0.4986387017771553,0.7425301122520997,0.5439825289790208,0.8183322291454813,,0.5281448098104208,0.8052506477307193
ENS-AVG,0.840868783425708,0.3529047910951538,0.8326997261711482,0.8591353686578407,0.9294672174533956,0.4800539243174765,0.8223214126893859,0.9183949904305391,0.6023032832417798,0.8120056173113619,,0.6560990663748487
ENS-MSE,0.9125228888633634,0.5273575692417671,0.8319396890319546,0.8079197102146041,0.4288076237442315,0.5255862537118567,0.39676613180255615,0.6622307648228258,0.4355290230052976,0.5213569915091927,0.8499563626878637,
