,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.44672360044934273,0.15275926530652761,-0.2586334969788412,-0.056229533425262414,0.7512540715154117,0.16830662137929175,0.10948599996397249,-0.6287352428059176,0.29343294891006255,0.09820211092150255,0.6085878905140983
ENet+H,0.44672360044934273,,0.012017234799082621,-0.28661240668930804,0.09247868782000668,0.023851633522767035,0.32747692071555434,-0.4603696287995745,0.3255732511611421,0.010433564248431226,0.7488415843894891,-0.14410830545133385
PCR,-0.15275926530652761,-0.012017234799082621,,-0.32674702946898143,0.08163014448863282,-0.09367486598527752,0.05913874179317345,0.22098563708591362,-0.6954075431566392,-0.08336504757908691,0.516178070205191,-0.026954321004764886
PLS,0.2586334969788412,0.28661240668930804,0.32674702946898143,,0.014460078241637878,-0.19391751738801252,0.22610024961794395,-0.07046576170179053,0.11878491914435202,-0.2972801209596554,-0.14654597122800755,-0.3740221819505273
GLM+H,0.056229533425262414,-0.09247868782000668,-0.08163014448863282,-0.014460078241637878,,0.18644560588288012,-0.16397780633942383,0.4271573717353683,-0.30841499654816373,0.688345228608273,-0.1764851353645535,0.4710594818760355
GBRT+H,-0.7512540715154117,-0.023851633522767035,0.09367486598527752,0.19391751738801252,-0.18644560588288012,,0.3786543388580117,0.34392782578341413,-0.22126901689585343,0.2502762586626742,-0.18487241520650555,0.024425726602445356
NN1,-0.16830662137929175,-0.32747692071555434,-0.05913874179317345,-0.22610024961794395,0.16397780633942383,-0.3786543388580117,,0.18403936348374406,0.026281052017138984,-0.2018601415984708,-0.2762794378722962,-0.0255944589716455
NN2,-0.10948599996397249,0.4603696287995745,-0.22098563708591362,0.07046576170179053,-0.4271573717353683,-0.34392782578341413,-0.18403936348374406,,0.10327449395006652,-0.365281591913846,0.22728568997348064,-0.8471280802061523
NN3,0.6287352428059176,-0.3255732511611421,0.6954075431566392,-0.11878491914435202,0.30841499654816373,0.22126901689585343,-0.026281052017138984,-0.10327449395006652,,0.40634240278987,0.06495664249249306,0.1998710853086194
NN4,-0.29343294891006255,-0.010433564248431226,0.08336504757908691,0.2972801209596554,-0.688345228608273,-0.2502762586626742,0.2018601415984708,0.365281591913846,-0.40634240278987,,-0.2173446644866447,0.2728847083061474
ENS-AVG,-0.09820211092150255,-0.7488415843894891,-0.516178070205191,0.14654597122800755,0.1764851353645535,0.18487241520650555,0.2762794378722962,-0.22728568997348064,-0.06495664249249306,0.2173446644866447,,-0.3510956234313145
ENS-MSE,-0.6085878905140983,0.14410830545133385,0.026954321004764886,0.3740221819505273,-0.4710594818760355,-0.024425726602445356,0.0255944589716455,0.8471280802061523,-0.1998710853086194,-0.2728847083061474,0.3510956234313145,
