,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.3223427553751069,0.6430191745407595,0.3192677482985325,0.8335981469091993,0.6935113512068296,0.45862819947970784,0.44522255113779247,0.6735107107725072,0.6978714484219275,0.6927389236478758,0.5205328580003757
ENet+H,0.9067710160381219,,0.6753152752799912,0.7713972715500448,0.8955477743125686,0.9226170645930056,0.6210593939798216,0.3263178945369935,0.917225280760231,0.8807254670533049,0.9379313560389391,0.33650539543388697
PCR,0.6441720998625587,0.7242059932991184,,0.5449237769714673,0.35807044351105544,0.7437243649309782,0.7343509550405442,0.5141219215789802,0.9120308232397951,0.5953732256889417,0.5536954126619325,0.3470452995298006
PLS,0.625202946740484,0.5270764636626913,0.48520449546855493,,0.31748067672668456,0.9122188534264544,0.3603204842161661,0.823307679219647,0.4889308388946263,0.6959922173054593,0.5614834469902428,0.6757170162054293
GLM+H,0.5179678861146965,0.8753126298030194,0.8353800246989995,0.8252214535924791,,0.7623505059225757,0.5411300525646122,0.8707579618803092,0.7434776951176212,0.5224323542376043,0.4978802918465577,0.4150812223899022
GBRT+H,0.6893952285189914,0.5359469117068973,0.719251903640165,0.6966334804214084,0.39230367854915504,,0.5733083956221815,0.39564454238094304,0.7509448636551714,0.6066598150472784,0.6572509031356428,0.8172154624881613
NN1,0.7970814647974802,0.40090221501239676,0.9067762100991372,0.3042919094613277,0.8630399775730664,0.41704391733031276,,0.9139840794021585,0.36342066197196593,0.896911698931353,0.7717994426442563,0.5570774349623782
NN2,0.32020685950776306,0.6557635977859864,0.49778370622771606,0.8103638750924831,0.9350770894924632,0.5694505101180938,0.7298473361769928,,0.3221265423266168,0.6131170982998646,0.8345608741596264,0.32226510152349636
NN3,0.433357086719248,0.8870301748248335,0.7863581471752796,0.6165624832457842,0.6295784581617703,0.5600312963097728,0.8113613666210815,0.5592113788159195,,0.33211568609142383,0.6289940972080246,0.8250745715811267
NN4,0.35851014389990127,0.8827880953467773,0.516913620969311,0.43571520136703445,0.8082799137637284,0.3806505614611704,0.3581326954036174,0.5408736164644943,0.8529437820093306,,0.9110539823355903,0.40422994907362825
ENS-AVG,0.885300052324129,0.9279289937764432,0.4085455137456693,0.8183871012530304,0.4854974869831434,0.5832459368091734,0.5956237720596864,0.642963444338076,0.7566029606515156,0.3728654630197433,,0.3430737495304533
ENS-MSE,0.4579702173257594,0.5130860601059755,0.3822885057586478,0.30788017032227905,0.3376515127052505,0.6182750032023513,0.396332082550479,0.7369023274188302,0.7569081045309849,0.9209220052140958,0.6164229779535583,
