,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.3998214283820214,-0.040477015973687525,0.03563407910121514,0.541275017314142,-0.870202055054948,-0.04196916878984386,-0.13619026705151827,-0.16973039164637257,-0.3448033179360804,-0.3491465687051388,-0.340317175709001
ENet+H,-0.3998214283820214,,-0.4657274090959686,0.2551716988972441,-0.42195057955104864,-0.15195478127286577,0.008790019124444923,0.33488422210603985,-0.1666520149315946,-0.25634578334191044,0.3163543142842409,-0.3391501946115044
PCR,0.040477015973687525,0.4657274090959686,,0.10087969348824105,-0.7083958195976348,0.054747621577625166,0.524612271157386,-0.02378204309297922,-0.06003462380408349,0.23387868409929116,0.2561310447747293,0.2996895287970759
PLS,-0.03563407910121514,-0.2551716988972441,-0.10087969348824105,,0.1405689556787199,0.5930097544696795,-0.4085172751337812,0.11390932992853604,0.15364959942306572,-0.20041172650600902,-0.19848994137794923,-0.19083205092560368
GLM+H,-0.541275017314142,0.42195057955104864,0.7083958195976348,-0.1405689556787199,,-0.03162053408541774,0.22156037200145617,0.5338450871966507,-0.2879674766043755,-0.007571429749646752,0.5308638160862542,-0.18846116800558907
GBRT+H,0.870202055054948,0.15195478127286577,-0.054747621577625166,-0.5930097544696795,0.03162053408541774,,0.024350758243876613,0.6011851426093386,-0.5067248747578188,-0.41275517407652984,-0.7614989455562773,-0.04685101195101643
NN1,0.04196916878984386,-0.008790019124444923,-0.524612271157386,0.4085172751337812,-0.22156037200145617,-0.024350758243876613,,-0.019531249369076575,0.3391190803359091,0.08972325425972724,-0.013231155326910018,-0.304253728561209
NN2,0.13619026705151827,-0.33488422210603985,0.02378204309297922,-0.11390932992853604,-0.5338450871966507,-0.6011851426093386,0.019531249369076575,,0.6990109653835286,0.16214271863311788,0.19407132960762327,-0.24455170007097402
NN3,0.16973039164637257,0.1666520149315946,0.06003462380408349,-0.15364959942306572,0.2879674766043755,0.5067248747578188,-0.3391190803359091,-0.6990109653835286,,-0.1752871968175564,-0.009049521789546086,-0.40780426052608554
NN4,0.3448033179360804,0.25634578334191044,-0.23387868409929116,0.20041172650600902,0.007571429749646752,0.41275517407652984,-0.08972325425972724,-0.16214271863311788,0.1752871968175564,,0.11057561770178434,-0.1553594375101207
ENS-AVG,0.3491465687051388,-0.3163543142842409,-0.2561310447747293,0.19848994137794923,-0.5308638160862542,0.7614989455562773,0.013231155326910018,-0.19407132960762327,0.009049521789546086,-0.11057561770178434,,-0.6402068155798786
ENS-MSE,0.340317175709001,0.3391501946115044,-0.2996895287970759,0.19083205092560368,0.18846116800558907,0.04685101195101643,0.304253728561209,0.24455170007097402,0.40780426052608554,0.1553594375101207,0.6402068155798786,
