,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,4.5719,3.5391,10.7495,14.4664,3.92,10.3614,6.1753,14.4982,6.6038,1.142,21.2598,2.7127
mom6m,17.2559,3.6249,13.0666,8.9246,13.0981,15.8837,2.1915,3.2113,5.817,0.8085,5.596,10.522
mom12m,5.5114,7.5185,10.9769,2.7887,2.1567,4.3952,12.528,15.6334,9.6589,7.2456,14.0334,7.5533
mom36m,2.3891,7.0431,21.6812,2.6842,7.9746,17.1694,8.7972,6.663,4.2419,10.0292,5.1474,6.1797
chmom,4.0592,13.2985,3.2158,7.1398,4.9344,1.121,17.7327,7.919,11.1055,17.8913,3.2968,8.2858
indmom,3.4061,20.5368,7.1109,0.6591,12.1565,11.4754,1.6642,9.9818,2.9744,14.3193,13.4729,2.2428
mvel1,2.3696,4.7948,1.5031,3.8783,14.8234,17.5625,4.2308,14.5369,9.9528,8.4346,11.8344,6.0788
dolvol,12.9185,6.0722,2.511,4.6662,10.4042,11.876,4.1708,28.7733,3.2804,7.373,1.2924,6.6618
turn,15.8135,6.2948,8.2544,13.2977,0.5438,5.8407,4.8366,17.9649,0.4696,8.7913,8.3426,9.5501
ill,5.5661,3.1644,21.674,7.8966,10.0287,4.8057,4.7369,6.3215,15.882,9.4743,7.0167,3.4332
baspread,8.1203,17.0271,8.3024,2.7201,11.3977,5.537,1.3774,5.4053,14.5923,6.1434,2.68,16.6971
beta,4.1794,8.6215,0.908,2.4557,28.581,6.0841,12.8172,3.6931,9.9205,4.0519,14.3858,4.3017
betasq,7.9236,6.2708,2.029,3.7851,5.9473,2.9896,9.187,14.735,2.3577,8.2503,25.1093,11.4152
idiovol,7.0002,6.5328,14.11,8.3723,7.8881,10.1735,4.7804,11.8977,10.2192,4.4033,2.3663,12.2563
retvol,7.9921,2.3169,5.6812,5.2666,3.7383,14.5663,11.4097,10.303,19.4006,8.0489,9.7851,1.4912
bm,1.7696,8.7996,4.5673,15.6073,9.7845,22.0645,11.053,5.2966,5.1804,4.4014,5.0817,6.3942
ep,3.2741,14.4104,9.9506,6.2899,3.3314,2.6407,9.3911,9.2099,9.5174,4.8909,17.8474,9.2462
sp,4.431,4.0717,7.434,2.3268,2.1393,26.4737,2.961,7.0187,7.7242,16.8973,7.0998,11.4225
cfp,5.3979,3.7443,7.7232,9.2492,0.8017,32.9998,9.0422,0.8871,2.0584,13.8299,1.5956,12.6707
dy,7.2693,22.734,2.8223,8.843,10.461,7.992,9.4069,8.6232,10.3254,4.4174,5.4652,1.6402
agr,8.999,3.3213,10.2027,2.2262,8.5063,3.9988,10.0542,7.9172,4.3981,16.1396,15.6303,8.6062
invest,5.4903,1.1504,15.2333,9.8667,16.4787,9.356,7.2668,3.8007,5.8887,3.3305,11.5271,10.6109
operprof,3.3671,12.1932,3.5219,9.625,10.9855,15.0644,3.7396,7.1455,10.5971,6.9575,7.474,9.3292
gma,17.9044,4.8855,6.1372,3.4209,1.4961,23.5126,11.9444,7.0521,4.1557,6.8299,1.6313,11.0299
roeq,7.9789,3.0489,2.071,2.8983,11.3313,7.444,8.3459,5.8594,6.61,8.7206,4.5514,31.1404
roaq,3.8673,21.2228,15.8665,3.7932,1.4671,15.804,7.6822,12.6121,5.5315,3.6994,2.2412,6.2125
acc,7.7083,5.2829,1.9948,3.92,11.34,16.8243,11.1703,3.8307,14.2772,0.4881,4.6647,18.4988
lev,7.323,34.8893,2.2059,2.8885,4.5342,4.456,4.1883,15.0144,3.7063,13.0387,5.5187,2.2368
sgr,3.4082,12.2122,6.6262,6.0605,3.4688,12.809,8.5575,26.2572,7.6077,0.8838,9.9683,2.1406
lgr,16.6477,13.9212,2.7994,7.886,2.1167,11.9945,2.9809,4.7658,13.4064,11.9909,7.9683,3.5222
age,5.7482,0.0567,7.7829,15.2734,15.8201,15.1289,7.7391,4.8556,5.9017,10.1299,3.4368,8.1267
depr,15.6749,8.1798,7.6155,1.2865,11.9822,15.77,4.7301,2.3057,10.3706,6.9336,9.4268,5.7244
chinv,3.5934,7.3829,20.2422,0.9115,11.4945,4.8494,5.7421,19.5932,13.0004,2.3902,2.4915,8.3087
