Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.106382,0.447048,0.1092265344941128,11.86567697566901,-0.083726,0.206858,0.061293,1.579706,0.591947,0.336411
ENet+H,1.295648,1.603487,1.2958636046753935,8.187008382085212,-0.075244,-0.798234,0.055843,1.548936,7.803285,4.0972
PCR,-0.144232,0.162131,0.1489845597547917,20.220238707957076,0.104506,0.539027,0.139159,1.541875,-0.870767,-0.456102
PLS,0.405143,0.668504,0.4054839661723334,11.16014222738098,-0.180226,-0.032025,0.027632,1.54207,2.843746,1.281174
GLM+H,0.250898,0.510248,0.2516182770887217,11.745541453974012,-0.255557,0.732948,0.036182,1.547066,1.792766,0.793409
GBRT+H,0.633695,0.903592,0.6352312221604116,11.103988473954104,0.260034,0.070608,0.194556,1.558131,4.397709,2.00392
NN1,0.254741,0.543489,0.257852548808341,12.811843083602351,-0.149602,-0.667952,0.159242,1.550438,1.639457,0.805562
NN2,0.926892,1.247032,0.9274138748326212,7.166763121347736,0.104334,-0.102303,0.096678,1.558167,5.412731,2.931089
NN3,0.757147,1.09528,0.7588147968186397,7.540345592037932,-0.356178,0.943801,0.252194,1.562518,4.193166,2.394309
NN4,1.507371,1.749983,1.5080329232431238,8.439598564583674,0.384576,0.727053,0.199199,1.55933,11.688954,4.766727
ENS-AVG,1.636301,1.897393,1.6370363504143388,6.672924928963216,0.267175,-0.32228,0.240127,1.553417,11.64009,5.174438
ENS-MSE,1.501252,1.759007,1.5022234908885497,10.499208126767535,-0.322123,0.265398,0.290936,1.561274,10.826998,4.747375
