,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.4977882569848313,0.649581309051036,0.6855006983849636,0.52818861681935,0.9320929593997955,0.8790316884608753,0.370031261079993,0.4031245366439865,0.6008725170906857,0.5507096134144367,0.7026981072436587
ENet+H,0.8621866418472743,,0.7454324564578246,0.5285259832728134,0.5307023658845202,0.5696621913101683,0.6558149688844734,0.8459457565001696,0.8192674538556073,0.9238661910638479,0.5064755656412303,0.47187230850946416
PCR,0.6041062680075007,0.6948548748215733,,0.522047695755582,0.4137813078388225,0.711132171928153,0.5655746334204941,0.3036061161774676,0.9347881076813351,0.6587783222359058,0.6357022407047861,0.5762996542468091
PLS,0.6256181691393481,0.5372720041354591,0.46641835947501986,,0.9151265141871803,0.5171959904657711,0.3288188346403963,0.7712938406211045,0.7490274552668386,0.8685238720725399,0.4138141626030404,0.3282519484032689
GLM+H,0.7539923145621543,0.30026226918214044,0.6089497177788339,0.4841809848621681,,0.7039195646543707,0.5143003712548324,0.5742024057943855,0.8758310211423848,0.3448113595001676,0.5781927128025737,0.5574647608922653
GBRT+H,0.6651717233153078,0.7263959261957014,0.4112075006479075,0.3543834304450383,0.4214985408433721,,0.42902878550932516,0.5698292292286387,0.35033533389324295,0.5395397318725779,0.7423719825160405,0.5262346870058805
NN1,0.627510775867308,0.46839638491055624,0.8196407836142989,0.7945607834344204,0.5242980835670469,0.8463876171670388,,0.545783476258212,0.7675080161508052,0.8740910888737499,0.6353963475583078,0.3742319531158446
NN2,0.34570765501145423,0.7675324435616386,0.42180692247262486,0.9106211652270235,0.4255419240545076,0.8055500446677617,0.32870481690576486,,0.5443513898338398,0.37143959771986945,0.5116523963918758,0.900004600848944
NN3,0.718380098107237,0.3067232621567601,0.361255090483397,0.6602358509237392,0.47265976773981067,0.3724283990333338,0.8908753364737971,0.8408422626723626,,0.7231391756852685,0.736609565640966,0.3218241328244629
NN4,0.5225810506483604,0.6059634828561287,0.6959722767648955,0.5550985424786388,0.42961014590696034,0.6814958224725529,0.7063614993173439,0.637574960686587,0.8217640849395844,,0.8908300559615712,0.9231740895436877
ENS-AVG,0.921377079204341,0.3158110502518627,0.8682014544642629,0.393856634690813,0.3719663253750567,0.7433491442189357,0.35455041371175955,0.9077934352022925,0.6067611811686479,0.5923389981803373,,0.5077875869368491
ENS-MSE,0.6480698826004401,0.35945634926894837,0.5854273822293057,0.31036981389008483,0.34831055965235114,0.6976691283278855,0.6217755608602253,0.7618979191947699,0.6579403300113263,0.7243334268912899,0.8180507590020456,
