,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.09196422011437404,0.37138126249430276,0.2936638626299196,-0.25537330601812047,-0.04037527634617133,0.07966925374061057,-0.5769699835447278,0.23567203710222934,0.45409855243730735,0.07054420142631529,0.2671780656434236
ENet+H,-0.09196422011437404,,0.018937735582719772,0.15653024653961067,0.5893747147702004,0.09496183519864153,0.5022844455310588,-0.13308599525729553,-0.14851575536696188,-0.34690175729026285,0.607650737206264,0.06228214137173531
PCR,-0.37138126249430276,-0.018937735582719772,,0.32709081386732014,0.055135259747741944,0.08077305366241563,0.175161074007477,-0.2250298726955136,-0.12995042530483708,-0.5666760592887612,-0.16444610781515864,-0.306869477981494
PLS,-0.2936638626299196,-0.15653024653961067,-0.32709081386732014,,0.14802678705091638,0.2349888725353998,0.21165169024492808,0.3253200716513255,0.633355222372525,0.4913574856330196,0.3600449215293655,-0.7610759230289933
GLM+H,0.25537330601812047,-0.5893747147702004,-0.055135259747741944,-0.14802678705091638,,-0.22061049469506838,0.370983008031063,0.07193695130856936,-0.1549936494680248,0.04873870539375528,0.029694217070944544,0.3057656907372468
GBRT+H,0.04037527634617133,-0.09496183519864153,-0.08077305366241563,-0.2349888725353998,0.22061049469506838,,0.2862180322134805,0.29115915037901036,-0.8367773536308851,0.1319979988153927,-0.2605500202045086,-0.019313403612155992
NN1,-0.07966925374061057,-0.5022844455310588,-0.175161074007477,-0.21165169024492808,-0.370983008031063,-0.2862180322134805,,-0.5769963179964278,0.09207917982732183,0.119863141715508,-0.032508554217036786,-0.5575898456987489
NN2,0.5769699835447278,0.13308599525729553,0.2250298726955136,-0.3253200716513255,-0.07193695130856936,-0.29115915037901036,0.5769963179964278,,-0.08808998234983956,-0.014383402166761095,-0.19054695210039443,-0.4249158222539118
NN3,-0.23567203710222934,0.14851575536696188,0.12995042530483708,-0.633355222372525,0.1549936494680248,0.8367773536308851,-0.09207917982732183,0.08808998234983956,,0.07541531077505309,0.08293256337257227,-0.6359925291209808
NN4,-0.45409855243730735,0.34690175729026285,0.5666760592887612,-0.4913574856330196,-0.04873870539375528,-0.1319979988153927,-0.119863141715508,0.014383402166761095,-0.07541531077505309,,0.2668028973653445,0.31453000794753466
ENS-AVG,-0.07054420142631529,-0.607650737206264,0.16444610781515864,-0.3600449215293655,-0.029694217070944544,0.2605500202045086,0.032508554217036786,0.19054695210039443,-0.08293256337257227,-0.2668028973653445,,0.04271949055619638
ENS-MSE,-0.2671780656434236,-0.06228214137173531,0.306869477981494,0.7610759230289933,-0.3057656907372468,0.019313403612155992,0.5575898456987489,0.4249158222539118,0.6359925291209808,-0.31453000794753466,-0.04271949055619638,
