,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,5.4531,11.7929,1.5913,0.6953,6.3195,25.6318,4.4531,10.595,6.6196,7.9787,7.3776,11.4921
mom6m,9.147,4.1069,20.6566,9.4207,1.3772,9.7059,8.1484,5.7033,8.049,2.8465,5.4228,15.4157
mom12m,22.7932,1.1822,10.5609,3.8897,1.5185,0.8602,12.7684,10.6097,19.3128,9.9333,6.156,0.415
mom36m,8.8385,7.4668,7.73,13.5508,3.2738,0.5274,19.9515,5.2624,5.1502,4.6869,16.0355,7.5261
chmom,10.8665,3.3477,10.2079,10.7137,4.541,1.8405,8.8267,9.1417,4.9324,15.5401,10.4795,9.5622
indmom,10.2112,5.8486,6.2825,15.8048,7.7656,8.3111,2.0543,3.313,23.0548,4.8573,6.7853,5.7114
mvel1,8.305,7.5099,7.1605,12.5918,7.2935,7.3366,8.3473,4.1476,11.1711,5.5523,3.6509,16.9335
dolvol,36.3993,5.7512,6.8561,6.0355,9.5374,1.1241,2.7467,8.7667,11.801,1.7138,3.8935,5.3747
turn,4.7228,12.2536,6.4013,10.6522,10.7461,13.0252,7.596,3.8306,7.985,12.6288,6.829,3.3295
ill,2.9043,7.2114,4.8163,12.6939,0.5511,13.9453,6.4424,5.3554,13.2704,5.3069,8.0601,19.4425
baspread,8.6378,11.8943,4.914,6.1768,9.0809,4.3327,5.4249,5.6484,10.4047,5.3155,19.12,9.05
beta,1.5854,3.021,2.443,5.9003,8.5252,11.9127,3.9421,10.1091,4.8108,6.3666,13.2592,28.1246
betasq,14.017,13.6193,3.7779,3.6275,10.3121,3.1756,5.5411,5.882,11.4672,5.7278,9.0061,13.8463
idiovol,20.133,4.5116,10.045,7.0656,6.8192,18.696,2.9334,2.4294,7.8566,14.0805,2.3898,3.0398
retvol,12.6856,4.5885,17.4609,10.7964,2.4274,5.6414,21.8334,7.6882,2.1723,7.8427,5.6799,1.1833
bm,2.5723,2.28,5.3153,11.7485,3.121,3.9995,8.0258,2.332,18.4642,22.045,14.6103,5.4861
ep,4.238,12.8106,6.3601,18.8562,7.7335,0.3562,2.1968,22.6455,0.6938,4.8824,7.5697,11.6572
sp,10.858,6.056,17.6376,7.6483,17.6603,11.3085,3.2595,4.0929,3.9063,3.5529,11.6176,2.402
cfp,8.3402,4.6038,8.1447,4.1111,18.3273,4.759,3.626,3.4066,20.8152,2.9926,5.3908,15.4826
dy,11.7252,8.2916,4.2071,6.2563,7.0155,10.003,3.0914,10.6343,12.3052,3.7783,16.4936,6.1986
agr,6.1165,13.4129,4.7129,8.7022,9.4501,1.1942,2.2105,9.229,8.9113,13.7448,11.9553,10.3604
invest,19.4879,2.9026,10.3497,10.7751,1.3596,10.4444,3.8497,4.4675,9.7633,15.709,6.0565,4.8346
operprof,12.8483,6.4857,4.8864,6.2304,4.347,8.5143,13.1108,2.4858,16.4525,6.7699,12.91,4.9588
gma,12.6278,6.8565,5.8119,5.6178,3.3022,4.3782,6.4105,9.8875,4.9908,27.9155,5.8243,6.3769
roeq,17.327,11.2396,2.9784,3.5793,25.5132,1.0592,11.0944,12.848,2.6681,2.3095,6.1334,3.2498
roaq,23.076,2.7709,5.915,5.2625,9.8867,3.8318,10.2193,5.8069,3.3491,15.9323,3.8045,10.1451
acc,1.895,3.4236,3.8973,18.136,10.7947,4.3099,9.5779,15.9426,7.0169,14.0872,4.2147,6.7041
lev,5.4141,2.5282,2.5341,5.1223,15.4083,12.4328,9.1469,1.4835,18.2994,4.917,2.8076,19.9056
sgr,5.8323,7.5384,6.3476,4.5803,18.5939,8.5984,4.549,18.2225,5.3251,8.0227,4.2962,8.0936
lgr,1.5849,12.2232,2.9766,11.6608,2.2486,24.1061,2.7309,6.4743,15.5724,7.3358,5.1152,7.9712
age,19.2503,5.0574,4.6288,8.1192,7.6226,4.1868,2.0441,13.4706,4.9572,2.957,1.3959,26.31
depr,6.017,4.4982,9.3011,17.0339,4.6466,14.6431,1.8075,4.1318,6.61,22.2729,2.8992,6.1387
chinv,11.6076,3.0794,3.8262,11.8959,20.5434,11.0767,2.6939,5.092,10.4208,5.8919,3.8006,10.0715
