,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.48383459110738686,0.8739959882995414,0.3397829667739251,0.8359419812274043,0.5943965112963603,0.8267829378760514,0.6610177049071759,0.36751404560961864,0.5177813536658523,0.8636287595246113,0.4742888145690699
ENet+H,0.6222836391346733,,0.7106613783201123,0.5670477854004483,0.8259534823734762,0.3269217907816847,0.31789671684533377,0.5936351418609198,0.3015902508228749,0.5552108398157064,0.7619218737430692,0.448200454126236
PCR,0.37733800074707297,0.4240713542777702,,0.4695740454558645,0.8150220443040523,0.813433664778878,0.714155585556721,0.5143869495679907,0.6161441312163999,0.6780735264204402,0.5380970759088329,0.9003948608262091
PLS,0.31088971537731475,0.7935166431280634,0.4161113942553381,,0.38258820069155575,0.8566263366382505,0.8256026400245675,0.35641662741310776,0.5361259397918314,0.7331791809214564,0.7811430928049159,0.6845179059610822
GLM+H,0.49010063204296805,0.3495181027096458,0.9487877780258203,0.36321342255314354,,0.8091214651707568,0.6223837821241387,0.808957442254234,0.42667344306104416,0.45659239676521984,0.4519986353382548,0.6890952110152435
GBRT+H,0.5642542188689272,0.6522812766541534,0.657677862411171,0.7509979019260106,0.7713443901887118,,0.5051382893485646,0.6295042418475316,0.44024009520857577,0.7712845880342762,0.7876441140694648,0.3222511435722485
NN1,0.5574185083303755,0.7932264658038708,0.8514801398985139,0.9477187702317549,0.5406104772347389,0.6301333407455689,,0.41988292846741926,0.6270961115564121,0.5522323978090814,0.8278114042667901,0.5346853103888067
NN2,0.8055484828786657,0.8895146708774397,0.8889527951021934,0.5437383790575464,0.9464368388619033,0.8597654539534936,0.38825870324456696,,0.6036960440053258,0.5184835725993295,0.45619768747777156,0.47911400265123
NN3,0.5719217949761479,0.3131186656043829,0.6041283654948159,0.874764692805573,0.9230794852802795,0.43585159358354253,0.8665346374597891,0.6237105912160144,,0.8339338615666898,0.7566038793091789,0.7637875893588393
NN4,0.6286890947697843,0.8992990212820462,0.9228867402756538,0.7962438104505625,0.8065353250641254,0.411837150167185,0.9042273243761925,0.3438039240206671,0.8821644247414346,,0.5596112278184098,0.42103417287091127
ENS-AVG,0.45966835115370824,0.40840667519324964,0.7521448285445134,0.7341294855453133,0.7285761273428668,0.41769714472873454,0.6960994019230569,0.7251424743954766,0.7868976634828435,0.5839003127489009,,0.4151977345798711
ENS-MSE,0.5837459712483417,0.7049943576951156,0.36754381767264604,0.693112719062732,0.5246483918311895,0.6612442209895697,0.38321734974549326,0.598184380208177,0.5018973956433772,0.8055412818041745,0.4518986050513958,
