regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,mean_ret_pct_pm,max_dd_pct,skew,kurt,n_months
full,all,OLS-3,1.121124789913994,1.4753073648566761,0.004954826445007963,0.49548264450079627,9.449443022169362,-0.003953443649947122,0.23444818172175363,120
nber,recession,OLS-3,,,,,,,,0
nber,expansion,OLS-3,1.121124789913994,1.4753073648566761,0.004954826445007963,0.49548264450079627,9.449443022169362,-0.003953443649947122,0.23444818172175363,120
vix,low_vix,OLS-3,,,,,,,,0
vix,mid_vix,OLS-3,,,,,,,,0
vix,high_vix,OLS-3,,,,,,,,0
decade,2020s,OLS-3,0.47700565972121367,0.8738108864277593,0.0018751757491971771,0.1875175749197177,9.449443022169362,-0.25043116186184494,-0.10347054899629393,45
decade,2030s,OLS-3,1.4767268099154742,1.8171222991810156,0.006802616862494435,0.6802616862494435,6.989015754802742,-0.003841159010930699,0.2133077727207624,75
full,all,ENet+H,0.7645941524379785,1.1184154042245693,0.0033233949464457836,0.33233949464457835,13.312258790151912,-0.1578764534313812,-0.25486833379028795,120
nber,recession,ENet+H,,,,,,,,0
nber,expansion,ENet+H,0.7645941524379785,1.1184154042245693,0.0033233949464457836,0.33233949464457835,13.312258790151912,-0.1578764534313812,-0.25486833379028795,120
vix,low_vix,ENet+H,,,,,,,,0
vix,mid_vix,ENet+H,,,,,,,,0
vix,high_vix,ENet+H,,,,,,,,0
decade,2020s,ENet+H,1.1834755471958276,1.5685479193478657,0.00476606150941304,0.476606150941304,3.741431500058546,-0.24810231917661288,-0.44180292833170487,45
decade,2030s,ENet+H,0.545080971566994,0.8842887205180574,0.0024577950086654304,0.24577950086654304,13.312258790151882,-0.0868879379971512,-0.20702535457457572,75
full,all,PCR,1.1604679564311318,1.5458174915374403,0.0046771191074904276,0.4677119107490428,3.9413846592906463,-0.07118793973467967,-0.12712458803224713,120
nber,recession,PCR,,,,,,,,0
nber,expansion,PCR,1.1604679564311318,1.5458174915374403,0.0046771191074904276,0.4677119107490428,3.9413846592906463,-0.07118793973467967,-0.12712458803224713,120
vix,low_vix,PCR,,,,,,,,0
vix,mid_vix,PCR,,,,,,,,0
vix,high_vix,PCR,,,,,,,,0
