,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,5.0022,1.6705,1.9724,16.6344,5.8101,17.9776,0.8465,6.234,0.986,4.6414,12.9342,25.2907
mom6m,17.7748,5.0189,5.0156,2.1871,17.6813,12.1742,2.1184,3.8769,21.2798,5.6126,5.3222,1.9383
mom12m,2.33,15.0535,4.5898,15.417,9.3782,3.0767,17.4437,3.3595,3.8316,7.3306,8.0527,10.1366
mom36m,11.0375,11.0779,8.8221,3.0009,12.0689,3.0991,8.8684,13.2856,10.6386,7.0711,6.0945,4.9352
chmom,12.2682,17.9317,3.2384,8.0379,6.2883,8.069,4.7065,4.4771,11.3693,8.2754,8.4278,6.9103
indmom,4.6266,5.4257,0.9614,4.1359,15.3662,5.7124,17.4477,5.5749,8.2367,7.0914,9.2289,16.1922
mvel1,9.723,2.477,5.8866,11.0603,18.9013,7.3964,1.5736,4.0708,16.9595,4.484,12.1111,5.3563
dolvol,11.2537,6.6157,19.413,1.8575,5.3042,0.3215,6.5304,11.6475,15.0232,7.1425,14.2658,0.625
turn,4.0009,5.5122,15.4043,8.5863,8.4488,2.8185,7.0152,8.1292,6.47,13.8936,5.106,14.6149
ill,1.3117,2.6496,2.5975,2.7068,11.2719,6.6009,10.1663,6.505,20.6612,2.5596,19.103,13.8664
baspread,17.3496,3.6334,19.7363,6.2348,11.7778,2.9698,1.8407,3.4586,6.2151,2.9394,14.9237,8.9207
beta,12.3458,6.075,4.8152,1.4768,15.3826,1.5712,13.2729,6.5671,5.357,8.5371,11.9066,12.6927
betasq,5.1796,2.5356,22.1338,19.0877,1.8053,10.0179,7.8815,14.4136,2.1174,2.3627,9.1432,3.3218
idiovol,2.9411,5.2918,23.6346,14.3122,3.9219,9.3426,5.6217,14.9409,0.9044,5.069,11.2462,2.7738
retvol,6.4411,6.7211,9.2574,10.3901,0.6685,15.3578,8.2261,11.4656,1.1145,9.2949,10.4146,10.6484
bm,21.6723,1.6544,12.4689,10.3267,10.9112,3.784,11.5734,12.134,2.7924,3.7726,6.1713,2.7387
ep,6.4626,5.2693,5.7478,19.5596,2.2227,3.3008,11.4698,12.4701,11.865,15.1037,2.4725,4.0561
sp,1.8584,7.3105,18.0269,4.0778,9.7601,3.351,6.3179,5.104,4.2986,7.3049,12.2625,20.3275
cfp,1.1177,4.4881,19.3322,9.0853,0.3223,9.1299,9.3875,11.3606,4.3637,7.1781,14.0246,10.21
dy,1.7156,8.7603,11.6287,2.4379,9.8003,5.3935,1.9705,0.6986,7.7285,40.2688,1.0512,8.5461
agr,1.9422,8.8999,0.4181,12.8771,5.4232,14.8604,6.8595,20.0402,8.7905,3.2138,9.7303,6.9447
invest,6.1732,18.0822,7.4243,0.3273,0.7055,14.2614,8.8214,1.6556,4.6964,25.322,9.9651,2.5654
operprof,11.0057,9.0767,15.6095,22.9873,9.0856,0.2155,2.6565,15.1555,2.8778,3.3553,2.4808,5.494
gma,21.2238,24.284,5.8191,6.9579,1.4593,4.4661,7.5095,1.6294,2.3363,18.3901,5.8131,0.1115
roeq,7.1549,4.1486,12.5946,8.2998,9.8584,3.747,13.0926,15.624,4.7775,4.3319,9.0665,7.3042
roaq,17.0528,6.3857,5.6746,1.3002,5.4791,2.0807,14.4472,3.0636,8.4049,19.0437,5.4842,11.5833
acc,4.8157,11.5435,11.9994,8.7736,15.1107,3.7235,6.2473,14.3645,2.7805,5.6446,6.5802,8.4166
lev,8.2706,7.2751,11.2683,19.8478,2.3683,6.1877,1.7813,15.5539,6.4528,11.2208,7.8332,1.9402
sgr,4.644,11.5345,5.8907,9.3211,8.9322,5.253,5.7364,23.7732,2.5555,8.7835,7.6484,5.9277
lgr,7.0391,7.2743,8.8897,16.2738,8.6922,11.3903,9.4973,14.1843,2.2302,6.8583,4.8921,2.7784
age,12.0834,10.3225,7.6683,11.505,3.126,2.4785,12.6442,11.7553,3.1637,3.4349,11.6493,10.169
depr,5.0904,2.7809,2.6907,12.6675,8.9099,20.0204,9.9988,10.6756,6.5775,6.4735,4.8257,9.2892
chinv,11.539,1.9524,12.1862,9.5992,8.7019,2.1323,10.4593,3.6173,10.046,12.7029,12.3569,4.7065
