Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.268851,0.374267,0.2719570870320343,84.27826330528544,0.0449,0.037371,0.167698,1.537658,7.054585,1.657308
ENet+H,0.183849,0.273063,0.1861803382421581,91.88396499138817,0.045305,0.038564,0.086192,1.556455,5.770631,1.133323
PCR,0.317375,0.417948,0.3196620248817917,84.49331521656151,0.045942,0.035428,0.14548,1.55201,8.814637,1.956431
PLS,0.331225,0.427045,0.3337679665033461,85.75140090258002,0.045934,0.040545,0.16882,1.558833,9.695299,2.041807
GLM+H,0.243221,0.339746,0.2456346992662668,88.10949064443693,0.045294,0.039663,0.117856,1.550257,7.031907,1.499312
GBRT+H,0.424805,0.520631,0.4293985611750861,81.94654289387799,0.044443,0.039597,0.39085,1.550747,12.388681,2.618676
NN1,0.381957,0.48183,0.3849208415088812,82.07860850774107,0.044195,0.037828,0.226775,1.543983,10.614971,2.354539
NN2,0.4372,0.543799,0.4404910892916233,77.18497744959262,0.046488,0.039128,0.288024,1.555544,11.487105,2.695084
NN3,0.47013,0.575553,0.4736276355171829,75.84901303667412,0.044751,0.037093,0.329006,1.544721,12.399528,2.898076
NN4,0.471452,0.568413,0.4758601410155966,79.48080534569544,0.045246,0.039735,0.415852,1.557823,13.626064,2.906224
ENS-AVG,0.650223,0.75754,0.6539075381730829,68.51024272852523,0.045391,0.039782,0.478214,1.547683,16.85891,4.008243
ENS-MSE,0.636408,0.742054,0.6407175815520323,69.64391672304025,0.045379,0.039288,0.547375,1.552876,16.849564,3.92308
