,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.3396241688960424,0.5532438172135601,0.6300841306939489,0.7914184569934763,0.760269015772415,0.6597631504211927,0.6382653480450098,0.5591255772460427,0.9210785024326373,0.5658737765378362,0.4797158821893265
ENet+H,0.6761631338670778,,0.586249227811275,0.30225052903083177,0.449571999760844,0.7439289828142637,0.3884456973425652,0.5806234236468621,0.7241768294376447,0.663538596300336,0.35667768926037036,0.8594869990757918
PCR,0.5720350686903158,0.5627817414487508,,0.48172442861786624,0.8020130209352723,0.4190664392915757,0.9459596275414719,0.9110173927702876,0.3583423326507791,0.769325179764816,0.8864799655982936,0.6653841600330352
PLS,0.6094853517889276,0.5724306697246229,0.3035021613279469,,0.8089650838465963,0.46093770626864483,0.4548501006783361,0.453373262683205,0.3556326462292921,0.5510091410409652,0.690097581102677,0.5613590496070142
GLM+H,0.7124309703242442,0.902971229722118,0.7840979203843831,0.8015808781205394,,0.9497641098847958,0.8703167737977271,0.5096652928428722,0.8067016601409778,0.7540446915568522,0.5378944230885061,0.4465473953869037
GBRT+H,0.7053330871646555,0.8440034827515566,0.3246543772917697,0.30269873704704503,0.9032672689736072,,0.32435846095368587,0.439525240487577,0.5085341256309115,0.8582868568688444,0.8833828388080811,0.7867450410708254
NN1,0.5502777572791795,0.30451758219575686,0.7863611709833135,0.6089624150286413,0.8600835082159075,0.8899912701240689,,0.56885307089069,0.8524074410522835,0.44172146342924046,0.8312719332111289,0.7012336538745577
NN2,0.6821724263607031,0.7028586116533931,0.4751396091479497,0.5741762072424407,0.5722714003796296,0.411438215055731,0.35921144763050306,,0.34485485761227347,0.5529401941252055,0.4112318490025577,0.40318555959867763
NN3,0.4870505392943919,0.5874240585619422,0.3943592002058144,0.34587810916443945,0.3367531930600775,0.7636380247837733,0.46933821668051423,0.5504884006117298,,0.4283181962479429,0.33463268790831663,0.8069755451654212
NN4,0.6839123871643742,0.4600966086863514,0.38318555244042285,0.7786850982817601,0.8338805854859337,0.8094258183227803,0.5068956194742774,0.8940003506499994,0.6161795384564746,,0.7472663861238789,0.5728305209931093
ENS-AVG,0.8390474544238165,0.47978913264754985,0.3644212309125503,0.4928167833499664,0.30304305335992454,0.4901131078401738,0.7627301012422496,0.6714742360205951,0.9252863603140047,0.4982156949905787,,0.6444637355524634
ENS-MSE,0.5599000723558318,0.3525452730031641,0.3825914184796434,0.8581804733970952,0.7459084836185896,0.6065785084033676,0.30048219785183616,0.49709360904763067,0.4764839859318336,0.7949267578977587,0.4502944110524504,
