,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.454002655296642,0.3000705820374353,-0.26719126818017125,-0.40547735489096665,0.16889904704760203,0.24536144721623293,0.4821173127185372,0.2304185685517609,0.6748108755809274,0.32286299844906197,0.1760741576776607
ENet+H,0.454002655296642,,-0.3403321887737051,0.027996224155684354,0.1825598310141549,-0.16394068520152105,-0.31688198624708375,-0.07402940930290586,0.781417920323428,0.48888631264576143,-0.13973541512203924,-0.5426166119309216
PCR,-0.3000705820374353,0.3403321887737051,,0.6305573432913161,-0.0730841517727826,0.41402689894131206,-0.19540621034534725,0.5634673237755515,-0.032731479371338086,0.09108444909079338,-0.10288535291757939,-0.03862041467001731
PLS,0.26719126818017125,-0.027996224155684354,-0.6305573432913161,,0.08583889591139557,-0.14491164596176348,0.7910762084327144,-0.21658905659158909,-0.11782141699894946,0.21138546398418384,0.061476199186080854,0.002018139491868326
GLM+H,0.40547735489096665,-0.1825598310141549,0.0730841517727826,-0.08583889591139557,,-0.2618505779038306,0.21543180799529416,0.08592327776426364,0.009312556468088727,-1.122453984854007,-0.10730530854925197,-0.8650361549624703
GBRT+H,-0.16889904704760203,0.16394068520152105,-0.41402689894131206,0.14491164596176348,0.2618505779038306,,0.13485251965726044,-0.6175667937323245,0.42040387305851723,0.1284139961118477,-0.4985698139489111,0.04583549253837607
NN1,-0.24536144721623293,0.31688198624708375,0.19540621034534725,-0.7910762084327144,-0.21543180799529416,-0.13485251965726044,,0.5588705157811227,0.20292990162898916,-0.11108421487168893,-0.006204917734008941,0.14235751865976404
NN2,-0.4821173127185372,0.07402940930290586,-0.5634673237755515,0.21658905659158909,-0.08592327776426364,0.6175667937323245,-0.5588705157811227,,0.15064706076744902,-0.40187826473256516,-0.4501660463336141,0.08608158978628372
NN3,-0.2304185685517609,-0.781417920323428,0.032731479371338086,0.11782141699894946,-0.009312556468088727,-0.42040387305851723,-0.20292990162898916,-0.15064706076744902,,-0.16721574516402926,0.13336887583293172,0.14147841544861245
NN4,-0.6748108755809274,-0.48888631264576143,-0.09108444909079338,-0.21138546398418384,1.122453984854007,-0.1284139961118477,0.11108421487168893,0.40187826473256516,0.16721574516402926,,-0.036305358644333846,-0.00194310255369598
ENS-AVG,-0.32286299844906197,0.13973541512203924,0.10288535291757939,-0.061476199186080854,0.10730530854925197,0.4985698139489111,0.006204917734008941,0.4501660463336141,-0.13336887583293172,0.036305358644333846,,-0.45071065242431896
ENS-MSE,-0.1760741576776607,0.5426166119309216,0.03862041467001731,-0.002018139491868326,0.8650361549624703,-0.04583549253837607,-0.14235751865976404,-0.08608158978628372,-0.14147841544861245,0.00194310255369598,0.45071065242431896,
