,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,4.9845,4.9778,5.3791,4.8048,4.4479,5.0668,5.8,6.1175,7.4264,5.8476,6.0946,4.5807
mom6m,4.7468,4.2737,6.5743,4.6295,4.6115,5.5634,4.6186,6.9664,4.9975,6.8466,5.3683,5.8004
mom12m,4.6087,4.78,4.4484,4.3967,5.5509,6.702,5.6243,7.8218,5.6363,7.4797,5.0454,5.6417
mom36m,3.6743,4.884,5.3728,4.1939,5.0968,5.0512,4.3313,5.1584,8.2856,6.009,5.4682,6.3975
chmom,5.5364,5.1196,4.2378,4.6735,4.5873,6.4123,6.0532,5.4986,6.0353,5.0813,6.4519,4.8723
indmom,3.3726,5.4614,4.2242,4.5885,5.0592,5.5134,5.3956,5.3081,5.7849,5.5499,5.0111,6.0873
mvel1,5.1507,5.1845,3.3377,5.1337,5.5933,3.9873,4.3231,3.8469,5.1694,3.7186,4.6873,5.374
dolvol,6.2085,5.8596,3.9161,5.4884,3.9384,4.205,5.4084,3.6491,3.4779,3.8461,4.0753,4.9408
turn,4.0499,4.0404,4.1427,3.7622,6.0727,4.1924,4.6863,3.2599,3.7389,4.4121,4.7312,4.0353
ill,6.4243,4.9174,5.0083,5.4567,5.1325,3.7191,5.5633,4.0044,3.6808,5.4708,4.1945,5.0372
baspread,4.28,4.2103,5.5221,4.4295,4.6316,3.7578,3.7023,3.5446,3.1464,4.9213,4.7448,3.824
beta,3.4397,2.8652,2.9722,3.8204,3.3531,3.7353,3.359,3.778,3.9254,3.433,3.7231,3.471
betasq,3.7342,2.6718,3.6095,3.2758,2.752,4.3692,4.0244,3.0825,4.4351,3.926,4.0352,3.5971
idiovol,3.0958,3.2661,2.8991,3.7074,2.7751,3.8667,2.9561,3.2642,4.8519,3.8289,3.7038,3.5497
retvol,2.8286,3.9326,4.1914,3.7339,3.9207,4.1874,3.6083,4.9925,3.9925,3.644,3.3779,3.6249
bm,2.8303,2.5169,2.8125,3.9527,2.0185,2.6214,2.5222,2.5473,1.9143,2.0913,2.5521,2.3635
ep,2.7456,2.8099,2.9272,3.0382,2.3565,2.6878,2.405,1.9483,2.5532,2.3972,2.6079,2.8324
sp,2.6976,3.0268,2.0705,2.241,2.7281,2.3998,2.62,2.0691,2.343,2.2712,2.3486,2.0729
cfp,2.7963,3.5753,3.7302,2.4402,3.4904,1.8902,3.4276,2.3781,1.8142,2.2068,2.1671,2.1583
dy,3.1231,3.3789,2.8722,2.1464,2.787,2.9503,2.4182,2.5054,1.6501,2.2714,2.7262,2.1748
agr,1.8263,1.5248,1.9946,1.711,1.703,1.5377,1.4346,1.5561,2.1193,1.6365,1.6544,2.1621
invest,1.5473,1.4504,1.9746,2.044,1.7187,1.5289,1.7903,1.8822,1.3463,1.4935,1.5459,1.7832
operprof,2.1575,2.1449,1.6814,1.62,1.9877,2.1275,2.1084,1.6564,1.4095,1.4178,1.6144,2.2848
gma,1.7125,1.9551,1.3093,2.0776,1.4982,2.1364,1.9258,2.2784,1.912,1.4193,1.328,1.562
roeq,1.9936,1.728,2.1311,2.1682,1.3204,1.4544,1.6061,2.0009,0.9998,1.3316,1.4192,1.4341
roaq,1.8802,1.4768,1.8037,2.3239,1.9602,1.8204,1.8101,1.9171,1.1606,1.4872,2.2667,1.4536
acc,1.0905,0.9039,1.4881,1.1543,0.9866,0.9387,0.9018,1.0644,0.9327,1.0891,0.8353,1.0977
lev,1.2921,1.2917,1.1812,1.0999,1.236,0.7387,0.9705,1.0632,0.6757,0.8466,0.9781,0.8122
sgr,1.2697,1.2343,1.0118,1.3703,1.2742,1.4176,1.0986,0.8993,0.806,0.7375,1.1278,0.9803
lgr,1.1195,1.1498,1.2424,1.2989,1.2392,0.9104,0.7737,0.8218,0.8287,0.7602,0.9283,0.8904
age,1.4277,1.179,1.1223,1.0339,1.5716,0.8549,0.5906,0.8445,0.8626,1.0085,1.069,1.1707
depr,1.1565,1.0353,1.2614,0.9209,1.3238,0.7627,0.9045,1.1715,1.1168,0.8393,0.8437,1.1382
chinv,1.1984,1.1738,1.5497,1.2637,1.277,0.8928,1.2377,1.1031,0.9709,0.6802,1.2746,0.7951
