Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.889784,0.889784,0.890291374566165,58.456816508954155,-0.082275,0.37353,0.090235,1.548022,21.471717,4.873549
ENet+H,0.7645,0.7645,0.7649567292521566,61.60383935772137,-0.082275,0.37353,0.069806,1.54705,18.738953,4.18734
PCR,1.087957,1.087957,1.0888820738886675,52.82560544651192,-0.082275,0.37353,0.200969,1.544784,25.375666,5.958984
PLS,1.023586,1.023586,1.0245305484148794,59.534321662568544,-0.082275,0.37353,0.193081,1.544922,27.32764,5.606413
GLM+H,0.856122,0.856122,0.8565280685436953,60.66644516204931,-0.082275,0.37353,0.069497,1.554718,21.471717,4.689175
GBRT+H,1.35216,1.35216,1.3534468649065412,48.292732741101766,-0.082275,0.37353,0.346967,1.558031,33.183563,7.406084
NN1,1.330385,1.330385,1.331352701487535,44.91367267040371,-0.082275,0.37353,0.256915,1.55213,29.279614,7.286819
NN2,1.25292,1.25292,1.254122813897296,51.414819473112516,-0.082275,0.37353,0.300644,1.558387,31.231588,6.862526
NN3,1.37619,1.37619,1.3778567672935675,47.01638796700346,-0.082275,0.37353,0.456938,1.55162,33.183563,7.537704
NN4,1.482174,1.482174,1.4834693686424711,44.334710390829215,-0.082275,0.37353,0.38269,1.553621,35.916327,8.118199
ENS-AVG,1.828906,1.828906,1.8302530821039569,35.5850335542371,-0.082275,0.37353,0.490501,1.539054,42.943434,10.017332
ENS-MSE,1.745456,1.745456,1.7468380611138865,37.81810544654254,-0.082275,0.37353,0.480338,1.548943,42.943434,9.560255
