,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.7847747881246367,0.45590448795217486,0.4115291838834571,0.6402584444528605,0.7032056701327041,0.5532463090458608,0.3844080870002072,0.7937984616559532,0.8800198545428726,0.5744819846655318,0.39356289209748824
ENet+H,0.7125732192090465,,0.8157328288232792,0.45335471929014726,0.3467419676680333,0.9330798523716315,0.9044923850188114,0.9297893423200434,0.7097494158347057,0.43095099700650175,0.8985028809972826,0.5057986855229274
PCR,0.5962537457273747,0.7493950343095287,,0.4503403412615243,0.4825126560919585,0.7772953161415754,0.8217178989162186,0.5785826567326009,0.3843969776109536,0.3309453806787614,0.6253914792864336,0.48400739001261994
PLS,0.3085971908827737,0.5607089107423522,0.839343692457388,,0.40503830417313413,0.820722130513353,0.7760875252496562,0.49154674342427035,0.8978352844436204,0.6591637676194777,0.5568990119949593,0.34790651732304306
GLM+H,0.6899649122262476,0.7240031549392159,0.6077145097978656,0.40390711845280736,,0.5395501777563293,0.6072265715504961,0.9386563696961774,0.7352729959342017,0.770632098477035,0.32500954179087443,0.9405912718695042
GBRT+H,0.6901221268348269,0.38852290279496515,0.5487965185210775,0.7336043997423574,0.44027565516089495,,0.6705795336857134,0.7315779958712467,0.8259135299811997,0.7727782387942912,0.7887047460780496,0.45938900851001874
NN1,0.8729664653481111,0.33904286149592866,0.6979535745161987,0.43156776493456284,0.9086431539380506,0.7765571467984482,,0.47610112037813423,0.7800060110072424,0.917445211131084,0.5718998757678107,0.3868732857725269
NN2,0.5952936115425131,0.759623538002189,0.7581122377901903,0.6350659373733987,0.5674452550659339,0.43256442145170093,0.5186809261682043,,0.3603197738076098,0.3198205989215297,0.7456591503390357,0.5763044433363445
NN3,0.7007708370148473,0.5370180702476263,0.42490227522013374,0.5501896729617881,0.7175897954572397,0.763085267554835,0.3457596060657658,0.9493798757562844,,0.4946466114734607,0.7289549032656568,0.39752741779611056
NN4,0.4984323297202219,0.8053453251340374,0.7044237978237504,0.34204075115319554,0.7122188493861275,0.7127975999706943,0.6630490892829728,0.6198533756285685,0.535078268718213,,0.5557975864717773,0.8253338642938832
ENS-AVG,0.3804781707117122,0.5789825486638399,0.6956594863421005,0.5419282454607797,0.6195460709424296,0.4817757704973266,0.41085993734817206,0.9209794195614678,0.5089050301739175,0.7603145831626635,,0.6080733430371323
ENS-MSE,0.7523427069010524,0.7346895147618392,0.3688196409784709,0.315569281701701,0.5027014908110472,0.9133290592128029,0.4228846808786437,0.6064349424883919,0.3989062184592881,0.8677613084067728,0.6694924303707197,
