,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.48659726220625976,0.1723903564761729,0.06627576852175311,0.41975306427239456,-0.5254874053602041,0.014260032080690606,0.11535779042398703,-0.14059430861497163,0.2762350632487327,0.053839429695622276,0.1150409970668177
ENet+H,0.48659726220625976,,0.12982358619627632,-0.47740338718109043,0.38929029818488115,0.182615177500506,0.3450395649582026,-0.24752163800978177,-0.04397534090382758,-0.0197221219860948,-0.31299610621018675,-0.2118965082031123
PCR,-0.1723903564761729,-0.12982358619627632,,-0.20663736108027336,-0.7608916617627363,0.9064946930584947,0.5980790258193425,0.44714182456681567,0.38514747026822727,0.0637716556201033,0.06950001825287432,0.2615520419177429
PLS,-0.06627576852175311,0.47740338718109043,0.20663736108027336,,0.2975696399699581,0.8428899567960446,0.08436098817643622,0.20237907695075336,-0.024809156599831295,0.15938107494353665,-0.3249591334579853,0.11530023327701933
GLM+H,-0.41975306427239456,-0.38929029818488115,0.7608916617627363,-0.2975696399699581,,-0.47815752411552154,0.4740206826434884,-0.051821330875363225,-0.5924732022177608,0.030301544663404373,0.3850156039385323,0.22063343419678394
GBRT+H,0.5254874053602041,-0.182615177500506,-0.9064946930584947,-0.8428899567960446,0.47815752411552154,,0.6045426445155727,-0.002800062418970184,-0.09229759716642458,-0.020387766491512582,0.1754180594336835,-0.28398603899161134
NN1,-0.014260032080690606,-0.3450395649582026,-0.5980790258193425,-0.08436098817643622,-0.4740206826434884,-0.6045426445155727,,0.7331500727459949,0.014228087157337352,-0.3431011311276422,-0.37754867313784424,0.1081845001291819
NN2,-0.11535779042398703,0.24752163800978177,-0.44714182456681567,-0.20237907695075336,0.051821330875363225,0.002800062418970184,-0.7331500727459949,,0.04700832807890498,-0.07009248867959623,-0.00590886091982086,0.3857995436293672
NN3,0.14059430861497163,0.04397534090382758,-0.38514747026822727,0.024809156599831295,0.5924732022177608,0.09229759716642458,-0.014228087157337352,-0.04700832807890498,,0.3354248945326337,0.1101921876564233,0.29149764238654363
NN4,-0.2762350632487327,0.0197221219860948,-0.0637716556201033,-0.15938107494353665,-0.030301544663404373,0.020387766491512582,0.3431011311276422,0.07009248867959623,-0.3354248945326337,,-0.40064755415145986,0.341210369729816
ENS-AVG,-0.053839429695622276,0.31299610621018675,-0.06950001825287432,0.3249591334579853,-0.3850156039385323,-0.1754180594336835,0.37754867313784424,0.00590886091982086,-0.1101921876564233,0.40064755415145986,,-0.1555598004416441
ENS-MSE,-0.1150409970668177,0.2118965082031123,-0.2615520419177429,-0.11530023327701933,-0.22063343419678394,0.28398603899161134,-0.1081845001291819,-0.3857995436293672,-0.29149764238654363,-0.341210369729816,0.1555598004416441,
