,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,4.5793,4.1074,5.6869,5.8087,4.4978,5.3237,5.7065,4.8534,6.544,5.8314,6.5729,5.4599
mom6m,5.1368,3.8873,5.3274,5.175,6.9458,5.3439,3.9066,4.7731,7.6504,6.4132,5.3709,6.1124
mom12m,4.6397,5.1206,5.1369,4.3536,5.2361,6.3682,7.0227,7.7421,5.5931,6.6403,4.94,6.2506
mom36m,4.7647,4.7784,4.3308,4.6522,5.4155,5.6373,5.1847,5.4195,6.3595,5.388,5.5199,8.0327
chmom,3.836,6.0665,4.0666,6.7835,5.445,6.0717,5.827,5.1467,6.9344,6.7182,5.1755,4.7683
indmom,5.2294,4.2331,5.717,4.1603,5.1294,6.0602,4.6818,6.7764,7.1182,6.4885,6.4855,6.3585
mvel1,4.1888,5.229,4.604,4.0824,5.259,4.8991,4.2337,3.7155,3.7401,3.8418,4.2345,3.9217
dolvol,4.7996,4.7653,3.5109,4.0043,3.6814,4.5953,4.3903,4.0858,4.087,3.8486,4.1874,4.0076
turn,6.3365,4.8379,5.3968,5.2783,4.2907,4.5999,4.2705,5.7424,3.2746,4.8312,4.5291,3.3484
ill,4.3284,4.7139,5.7433,3.4702,4.9372,5.1504,4.9111,5.1208,3.7762,4.6496,3.4908,2.78
baspread,4.906,5.0317,4.2663,5.0673,5.3829,3.6661,4.5599,3.1652,4.3061,4.3543,3.6275,4.4864
beta,3.2493,2.3881,3.0785,3.6727,3.4934,4.0203,3.9967,4.412,3.4941,4.4615,3.735,4.6701
betasq,2.9232,2.885,3.0417,3.5121,2.7991,3.7342,3.5729,3.9054,4.3726,3.7226,3.4749,3.8657
idiovol,3.7337,3.5359,3.4783,4.6496,3.1768,3.4406,3.7662,4.6849,3.6614,3.0663,3.9327,3.374
retvol,2.861,3.652,3.9107,2.731,2.6677,4.4041,3.5251,3.1106,3.9061,4.1056,3.7291,4.3922
bm,3.19,2.8018,4.4961,2.4274,2.495,2.1317,2.3499,1.9512,2.3268,1.7104,3.0235,2.08
ep,3.4355,2.854,2.3396,2.8078,2.5255,1.7844,2.6102,2.696,1.7307,2.3,2.4328,2.0206
sp,2.5701,2.5999,2.165,2.7058,2.8179,2.307,3.3536,2.0738,2.1738,2.5172,2.7511,2.3464
cfp,3.2139,3.0609,2.9053,2.9833,2.2949,2.4601,2.0064,2.619,1.9668,1.8447,2.5742,3.014
dy,3.9932,2.6877,2.9783,2.9713,2.8791,2.2354,2.1446,2.4512,2.4556,2.6969,2.4633,2.7467
agr,1.7067,2.5923,1.8051,1.4363,1.7055,1.4424,1.8874,1.5417,1.3255,1.3967,1.8794,1.3536
invest,2.0048,1.4569,1.2815,1.65,1.8137,1.6236,1.7076,1.3315,1.5882,1.5869,1.733,1.3085
operprof,1.407,2.1736,1.8672,2.2408,1.9244,1.618,1.6329,2.0887,1.2913,1.6055,1.5355,1.2193
gma,1.5616,1.5535,1.7176,1.6162,1.8418,1.5307,1.5265,1.2083,1.8493,1.7328,2.2496,2.1932
roeq,1.4745,1.6215,1.3934,1.5815,2.078,1.6682,2.4452,1.2629,1.2629,1.08,1.8449,1.7105
roaq,1.6474,1.7217,1.9672,1.9938,1.3849,1.3544,1.5542,1.8993,1.4484,1.6143,1.7992,1.535
acc,1.0158,1.4437,1.2659,1.2417,1.2998,0.8116,1.1256,0.9234,0.9031,0.9473,0.8631,0.8105
lev,1.2701,1.3869,1.0596,1.3865,0.9722,0.8667,0.7851,0.8547,0.8865,0.7145,0.9645,0.957
sgr,1.07,1.2677,1.2464,1.1759,0.9813,0.837,1.0093,1.0194,0.7184,0.7932,0.76,1.0377
lgr,1.5366,1.3226,1.1976,0.931,1.0578,0.893,1.1508,0.9516,0.8904,0.8232,1.2705,1.0448
age,1.0431,0.8826,0.978,1.2482,1.2449,1.0431,0.9002,0.8018,0.843,0.7033,0.8822,0.76
depr,1.1508,1.586,0.9751,1.0138,1.2715,1.1936,1.0513,0.7948,0.7812,0.8831,0.7901,1.127
chinv,1.1965,1.7546,1.065,1.1875,1.0542,0.8841,1.2033,0.877,0.7402,0.6893,1.1773,0.9064
