Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.001946,0.001314,0.0127197436147053,251.81823990506697,0.153488,0.213784,0.015798,1.540915,-1.103743,-0.005919
ENet+H,-0.001094,0.001314,0.0088307831827684,423.0764550077407,0.153543,0.213865,0.007678,1.552429,-0.846096,-0.003326
PCR,-0.001578,0.001314,0.0134123655519066,8561.701306618868,0.153517,0.21383,0.017737,1.55149,-1.015755,-0.004799
PLS,-0.002517,0.001314,0.0138365295485326,214.3735420425395,0.153463,0.213945,0.018508,1.54125,-1.21506,-0.007656
GLM+H,-0.001499,0.001314,0.0097316775939579,59605.77771212623,0.153473,0.21375,0.009245,1.558394,-0.996327,-0.004558
GBRT+H,-0.001857,0.001314,0.0174751132727017,259.18823785662266,0.153399,0.213921,0.030184,1.542623,-1.083955,-0.005648
NN1,-0.001604,0.001314,0.0160806822981545,10456.486967412606,0.153526,0.213992,0.025595,1.568403,-1.034448,-0.004878
NN2,-0.001873,0.001314,0.016874454129773,256.8738133675944,0.153514,0.213782,0.028116,1.536625,-1.083637,-0.005697
NN3,-0.001496,0.001314,0.0190480443684795,60220.16326849532,0.153462,0.213839,0.036046,1.559121,-0.995946,-0.00455
NN4,-0.001306,0.001314,0.0176411847725285,95481.77440908285,0.15342,0.213848,0.030941,1.548138,-0.926071,-0.003973
ENS-AVG,-0.002028,0.001314,0.0171086541271378,246.31029257562665,0.153479,0.21386,0.028851,1.544995,-1.124971,-0.006168
ENS-MSE,-0.001486,0.001314,0.0201837136216818,60779.61733988535,0.153552,0.213908,0.040501,1.555273,-0.990297,-0.004519
