,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.7087540764975271,0.7941075674291136,0.5473279104600366,0.49750181958315437,0.8100485251130012,0.5413145332137412,0.9351594726159316,0.397941111745757,0.36376203088533876,0.9140474871473796,0.5204254469033612
ENet+H,0.33918788851029763,,0.9353388949253603,0.660193915727523,0.32661585374596785,0.7636821693996494,0.7733741257947726,0.45672623139966545,0.49405951979990625,0.5042990155709095,0.39899868205099215,0.35166850663776994
PCR,0.32173240197154435,0.32082291647979566,,0.7743771600356824,0.5243738681294121,0.665762626463497,0.6468123636862482,0.5990673685107287,0.624860142490625,0.6745068656145863,0.7539917835615866,0.6983410265093082
PLS,0.5023454781885203,0.6580749168519193,0.3276046513785969,,0.8783478672246796,0.8872320457110643,0.7863233276513852,0.60001316218418,0.9391258365449111,0.8365017801400736,0.9062439640112454,0.4414291404560494
GLM+H,0.36941389460503515,0.8717191635659325,0.5378291884951536,0.6876507195239332,,0.36391909098909525,0.4114439221679413,0.329734276922349,0.6987157092162886,0.4262163797919611,0.5922247945288689,0.8568214968848225
GBRT+H,0.9406730605492657,0.9323666369985726,0.3092444290289426,0.8912504637536229,0.6198228331193896,,0.613425450820583,0.7169052646950178,0.6352840117831347,0.9176471142865443,0.5281754513405588,0.5385874564466291
NN1,0.6104209781291126,0.7196406152682095,0.37351837376618824,0.7738351534920951,0.39212910446281524,0.44685618412225114,,0.5024395069550621,0.5433721796699986,0.5443560016394495,0.49055657479735926,0.8184380341621587
NN2,0.5137124606641826,0.8442277096830817,0.5145182459089354,0.6120071451981752,0.9215754423976643,0.8619015366315004,0.3858249489043592,,0.6192384098451554,0.6031303407358759,0.650272438770932,0.4010081627641443
NN3,0.8608269573321603,0.9184795285155078,0.7754390674257567,0.6313238446376701,0.35584874022866086,0.31782113657367966,0.5497388608446268,0.6855442321620535,,0.6807007972995327,0.7400607140453663,0.6474268729156805
NN4,0.4281180886014636,0.9429718091174901,0.43849426213285403,0.41711995336109425,0.9392790822392378,0.8198250972771401,0.7448018257666118,0.596417118933076,0.5483736528453783,,0.6990487340365612,0.3111427640263168
ENS-AVG,0.6791465471681695,0.6000681098558945,0.46788527334336016,0.814234912208528,0.525178471949014,0.4176681064098471,0.8183768701516096,0.740363630508444,0.7931614257101758,0.6839247410904576,,0.632008004758274
ENS-MSE,0.5501174038428208,0.368230964782227,0.8917065603182124,0.7924126614690665,0.3023229746826679,0.7759497635726504,0.8058398304790582,0.5514203976689795,0.8104461383057384,0.8987097250169223,0.5900061622414607,
