,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.6786381023909658,0.06251146712838623,0.06766554161814423,-0.33881215631347344,0.4003158958917302,0.26083233271657813,0.10128248461370032,0.3912492559806213,0.24463785026538498,-0.3004284397199688,-0.43917063433732967
ENet+H,0.6786381023909658,,-0.06792898778543308,-0.40057658300110405,0.902883587964415,0.119112747461131,-0.9759777201298125,0.3434145998937933,0.364566018173368,0.10362928173649821,-0.018286525593008196,0.09307524641404501
PCR,-0.06251146712838623,0.06792898778543308,,0.012314556537409288,-0.2530096850251424,-0.01800151563528645,0.3419821516820659,-0.2703258019953907,-0.42135350159619206,0.27861299267844286,-0.3975222908618242,-0.29110778837922846
PLS,-0.06766554161814423,0.40057658300110405,-0.012314556537409288,,0.12149623813591019,0.2223910187655883,0.6874070308931899,-0.14640463411488153,0.12193195621800734,-0.3619722386756766,0.8645684175729005,0.2886047506394477
GLM+H,0.33881215631347344,-0.902883587964415,0.2530096850251424,-0.12149623813591019,,0.1918136130407481,-0.6491663738959995,-0.42875587677465543,0.11644348873877003,-0.2033825871222803,0.037293599490555024,0.1292254402739998
GBRT+H,-0.4003158958917302,-0.119112747461131,0.01800151563528645,-0.2223910187655883,-0.1918136130407481,,-0.5829591848361895,-0.5488497940176916,-0.10184789429239954,0.2537774716848078,-0.024863382301717918,0.7137907521157898
NN1,-0.26083233271657813,0.9759777201298125,-0.3419821516820659,-0.6874070308931899,0.6491663738959995,0.5829591848361895,,-0.18520411458083916,0.20911808300484677,0.4673168878039252,-0.40204376758894594,-0.27665937500591675
NN2,-0.10128248461370032,-0.3434145998937933,0.2703258019953907,0.14640463411488153,0.42875587677465543,0.5488497940176916,0.18520411458083916,,-0.2611761463692969,0.3477449156830883,-0.31066400375361614,-0.17236235310966277
NN3,-0.3912492559806213,-0.364566018173368,0.42135350159619206,-0.12193195621800734,-0.11644348873877003,0.10184789429239954,-0.20911808300484677,0.2611761463692969,,-0.5681680449414028,-0.17177957809373579,0.2983493818034408
NN4,-0.24463785026538498,-0.10362928173649821,-0.27861299267844286,0.3619722386756766,0.2033825871222803,-0.2537774716848078,-0.4673168878039252,-0.3477449156830883,0.5681680449414028,,-0.24039715399820116,0.8386667727370342
ENS-AVG,0.3004284397199688,0.018286525593008196,0.3975222908618242,-0.8645684175729005,-0.037293599490555024,0.024863382301717918,0.40204376758894594,0.31066400375361614,0.17177957809373579,0.24039715399820116,,-0.3169239879336032
ENS-MSE,0.43917063433732967,-0.09307524641404501,0.29110778837922846,-0.2886047506394477,-0.1292254402739998,-0.7137907521157898,0.27665937500591675,0.17236235310966277,-0.2983493818034408,-0.8386667727370342,0.3169239879336032,
