,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,1.6922,10.1624,6.7204,7.4428,6.2486,10.857,5.4654,11.2874,17.3886,6.0365,6.8422,9.8565
mom6m,13.6902,1.6767,3.4341,3.9308,7.2939,6.9862,8.4071,15.6842,15.5485,11.2165,2.4905,9.6413
mom12m,12.8318,6.8243,9.6227,1.6522,17.5088,14.5437,12.001,8.222,5.1241,3.5175,2.4096,5.7423
mom36m,2.3825,4.4536,2.4597,10.8275,0.9076,15.406,8.1576,17.3797,8.2091,4.5126,10.9918,14.3123
chmom,4.2,12.5202,12.4478,4.7721,13.1327,4.2933,10.2177,22.6609,0.9801,4.0613,1.8412,8.8726
indmom,4.7734,11.9631,16.1355,13.2429,2.353,2.8015,6.0422,12.5725,1.1283,6.5966,10.1198,12.2713
mvel1,1.1838,16.1289,18.2958,2.4581,12.5272,19.5002,6.3769,4.3982,2.6974,13.0134,1.9149,1.5053
dolvol,2.6663,5.5776,15.0898,17.2475,15.0952,4.5882,21.2039,2.0941,6.3818,1.2432,2.7828,6.0297
turn,8.6054,8.2254,9.7666,6.0941,9.3428,4.6076,2.0314,8.895,10.4983,5.9918,20.982,4.9595
ill,5.0922,10.0872,6.8472,9.8903,8.2753,4.5282,2.4865,14.9237,4.4255,10.2989,15.1839,7.9611
baspread,7.3742,4.7495,10.2017,7.1409,2.6738,20.6706,6.2522,2.9608,8.5792,12.7287,9.7538,6.9148
beta,10.5292,11.11,8.8025,1.037,13.1874,3.1991,9.1838,5.1289,15.2072,5.2135,12.1595,5.2419
betasq,17.5129,9.935,5.6539,6.5388,10.7059,6.9216,4.4539,1.4366,11.7782,0.5396,19.4218,5.1018
idiovol,8.1818,4.6027,8.3256,2.843,13.2649,8.616,23.5761,7.8181,11.0136,5.0842,4.3602,2.3138
retvol,6.8202,2.6255,5.9006,5.0675,10.3752,9.8848,0.2073,14.9163,18.4428,15.0153,9.3615,1.383
bm,5.9021,15.8047,9.1879,2.6584,4.2993,9.8584,7.133,6.9,13.3157,14.595,3.7097,6.6357
ep,3.3726,10.4711,4.4999,6.2646,15.4288,8.2637,12.4518,8.0641,15.6927,1.0626,7.4671,6.9609
sp,3.8166,11.6933,3.8704,9.5209,10.7889,19.9971,12.2423,0.4842,7.2323,11.4257,6.2182,2.7101
cfp,7.1702,10.0423,12.615,14.4335,6.25,1.7025,13.7099,3.3117,15.0847,3.6631,3.1958,8.8213
dy,11.196,3.9168,10.7329,4.7664,11.8069,4.9627,6.0752,14.0982,6.2109,10.3385,4.551,11.3444
agr,6.0675,8.8342,6.9003,16.1784,10.319,0.9995,6.5095,5.0311,10.3517,10.5243,5.2129,13.0715
invest,8.2485,7.1095,0.8582,6.7976,4.9122,15.4903,11.0365,10.7417,16.1061,3.4346,7.2072,8.0575
operprof,9.1877,3.5378,11.0376,11.5445,13.8166,4.0469,5.253,16.9745,1.3602,10.55,4.9264,7.7648
gma,2.3096,4.7403,2.6132,2.1234,9.7841,6.9114,14.6823,4.2756,24.6131,18.3818,5.7043,3.861
roeq,3.474,2.0632,27.999,1.4023,14.0097,2.7519,9.5771,3.8663,8.3676,3.1796,9.9669,13.3424
roaq,6.6252,1.0166,3.1246,2.6403,11.2432,6.8896,10.5817,7.2494,12.2429,18.112,8.4993,11.7753
acc,4.4584,2.2653,9.6087,10.1081,16.8751,1.4708,8.9823,10.6859,10.8552,3.1936,4.1842,17.3125
lev,4.4542,16.8591,0.2211,2.0588,11.9885,7.4975,6.1276,10.7348,3.4312,9.7414,10.0634,16.8224
sgr,4.3087,2.2716,5.4749,3.0868,34.3844,0.9522,4.7629,10.7684,4.2283,6.4149,6.315,17.0319
lgr,4.5945,4.6828,13.1591,7.3828,6.6843,9.6835,5.7644,11.6652,20.9876,1.8032,2.7727,10.82
age,8.2176,6.6244,5.8107,4.1569,9.2689,6.5215,8.3344,8.0627,4.4759,3.8579,22.6078,12.0612
depr,11.6705,4.1808,3.9644,6.4095,3.8383,12.7328,4.3505,2.092,0.2746,11.037,18.9511,20.4985
chinv,3.7131,9.859,16.8778,2.8723,4.9391,7.019,3.8977,22.372,4.5429,7.2307,12.1814,4.4952
